data = [
0.248645 -0.030615 5419 -3686
-0.098819 0.260867 -3405 7361
0.001606 -0.209272 -83 -8032
-0.102893 -0.053195 -3506 -2891
0.098475 0.120475 3199 3666
-0.020488 -0.176371 -733 -6069
-0.254769 -0.244372 -8395 -8296
0.037485 0.001430 1190 -240
-0.297221 0.102360 -9745 3030
0.141881 -0.123200 4554 -4302
-0.009092 -0.155132 -354 -5363
0.227723 -0.060254 7432 -2231
0.157435 0.052343 5101 1379
-0.075007 -0.020661 -2444 -930
0.181736 -0.187865 5922 -6482
-0.122915 -0.084818 -4123 -3049
-0.066632 0.001892 -2220 -37
0.137799 -0.131009 4464 -4362
-0.033364 -0.038608 -1112 -1358
0.002244 -0.015586 73 -596
0.041101 -0.037052 1338 -1272
0.032746 -0.125387 1058 -4227
-0.104460 0.055980 -3447 1765
0.072879 -0.137935 2398 -4610
-0.066444 -0.207755 -2183 -6793
-0.030708 -0.111462 -1037 -3700
-0.085982 -0.148884 -2840 -4951
-0.077040 -0.171555 -2512 -5673
-0.105390 -0.022577 -3426 -819
-0.041592 0.028135 -1402 840
-0.124120 0.010715 -4117 280
0.163535 -0.104913 5373 -3518
0.034062 -0.035848 1104 -1233
0.130597 0.110107 4250 3558
-0.013416 0.077224 -449 2458
-0.215234 0.050617 -7019 1576
0.092203 -0.033121 3019 -1157
0.036086 0.127530 1153 4083
0.039208 -0.093920 1257 -3134
0.072154 -0.211238 2331 -6975
0.171895 0.071231 5583 2262
0.077432 -0.082363 2514 -2752
0.010264 0.177026 370 5689
-0.119205 0.136744 -3878 4422
0.026314 0.148197 864 4733
0.156189 0.024839 5124 722
0.134046 -0.000898 4434 -92
0.137805 -0.012957 4511 -549
0.047257 0.125836 1488 4024
-0.077544 -0.102343 -2536 -3403
-0.019217 0.150234 -581 4849
0.090693 0.048137 2924 1548
-0.009963 -0.028834 -342 -977
-0.161320 -0.151725 -5316 -5050
-0.087954 0.115106 -2867 3708
-0.043615 0.329427 -1455 10738
-0.069291 0.064174 -2303 2054
0.024289 -0.044994 783 -1554
0.180699 0.244363 5941 7889
-0.129847 0.133339 -4287 4245
-0.074720 0.186703 -2494 6024
0.001554 0.142895 21 4551
-0.025768 -0.154296 -844 -5111
-0.002250 -0.170122 -151 -5610
-0.016596 -0.012946 -522 -470
0.001784 0.176176 24 5768
0.086766 -0.123706 2830 -4055
-0.189813 -0.085754 -6174 -2795
0.002822 -0.098632 129 -3207
0.055295 -0.026583 1793 -921
0.127393 -0.073636 4144 -2420
-0.013773 -0.035337 -415 -1181
0.098610 -0.180759 3209 -5930
0.097147 -0.177874 3205 -5841
0.126028 0.078474 4115 2545
-0.180601 -0.203619 -5884 -6667
-0.002365 0.009877 -88 335
0.145822 -0.174940 4766 -5705
-0.149658 0.015808 -4914 527
0.128599 -0.030487 4187 -1002
0.050950 -0.095379 1637 -3143
-0.178722 0.080948 -5838 2680
-0.121684 0.059488 -3998 1901
0.029302 -0.080433 977 -2621
-0.001882 0.157820 -84 5147
0.372017 0.054661 12166 1839
0.059809 -0.125786 1973 -4124
-0.003680 0.024377 -142 783
-0.146154 -0.009024 -4828 -298
-0.051333 -0.149077 -1675 -4910
-0.073051 0.054199 -2374 1777
0.050879 -0.223936 1615 -7380
-0.016257 -0.015493 -505 -537
-0.066319 0.098247 -2152 3205
-0.051549 -0.061472 -1702 -2026
0.025347 0.125833 835 4106
-0.007408 -0.063028 -261 -2078
-0.113432 -0.095866 -3715 -3161
0.067167 0.128742 2183 4204
-0.064769 0.050063 -2140 1626
0.029064 0.092416 944 2994
-0.136611 -0.156679 -4517 -5155
-0.160075 -0.069274 -5251 -2298
-0.024160 0.005463 -758 198
-0.042046 -0.012885 -1383 -423
-0.118012 -0.026665 -3880 -888
0.011917 0.081007 386 2621
0.143330 -0.276319 4682 -9089
0.050014 -0.100348 1643 -3317
0.114572 -0.266029 3767 -8726
0.040146 0.071324 1286 2318
0.213719 0.132830 6992 4330
0.127965 0.039783 4176 1314
0.076316 -0.181188 2500 -5920
-0.123184 -0.084107 -4052 -2780
0.036765 -0.076975 1222 -2530
0.139172 -0.088917 4505 -2904
0.001467 0.083079 20 2723
0.232384 -0.015073 7617 -534
0.061236 -0.114464 1986 -3755
-0.040680 0.160104 -1329 5209
0.135810 -0.121838 4424 -3965
0.004801 -0.153826 166 -5047
-0.057216 -0.056173 -1856 -1858
-0.058806 -0.168155 -1898 -5489
0.043678 -0.094502 1408 -3102
0.029581 -0.000368 1010 -31
0.103387 0.173107 3389 5610
0.042667 -0.055183 1393 -1815
0.102269 -0.010928 3319 -406
-0.047885 -0.148486 -1601 -4865
-0.007747 -0.307984 -236 -10097
0.106601 0.065622 3454 2120
-0.252057 0.016528 -8229 563
0.076743 -0.044540 2496 -1501
0.221733 -0.128155 7242 -4194
-0.027096 -0.003733 -840 -159
-0.082247 -0.084098 -2697 -2801
0.011103 0.062686 366 2048
-0.024734 -0.163161 -774 -5372
0.054574 -0.065724 1735 -2156
-0.044719 0.077771 -1455 2554
-0.111693 0.056899 -3682 1895
-0.206567 -0.021044 -6784 -701
0.129278 -0.113675 4216 -3700
0.006975 0.099123 266 3234
0.223977 0.164924 7338 5356
0.194256 0.148232 6343 4836
-0.206882 -0.101406 -6757 -3324
0.033801 0.121274 1127 3955
0.101305 -0.018136 3292 -594
-0.038648 0.164867 -1272 5360
-0.085964 -0.123492 -2819 -4006
-0.002137 -0.012052 -86 -408
-0.075560 0.246472 -2451 8111
0.014537 -0.014949 509 -502
-0.070410 0.035318 -2302 1124
-0.004545 0.012262 -183 399
0.199661 -0.108325 6504 -3546
-0.067540 -0.059339 -2237 -1944
0.030441 0.053640 999 1737
-0.058745 0.041677 -1895 1348
-0.205175 -0.173282 -6676 -5659
-0.179742 -0.090426 -5867 -2989
-0.019141 0.009972 -655 284
0.092361 0.096835 3025 3141
-0.052515 0.024329 -1752 774
-0.083243 -0.336092 -2703 -11032
-0.103994 0.010650 -3338 343
0.006848 0.169294 229 5500
0.080289 0.002769 2655 65
0.180005 -0.114756 5867 -3797
-0.102691 -0.083917 -3360 -2712
-0.150496 0.345585 -4885 11277
0.033640 -0.012100 1134 -374
0.051518 0.286735 1660 9312
-0.226531 0.070857 -7376 2327
0.052379 -0.076889 1740 -2569
0.004486 0.047686 151 1539
-0.273413 -0.052883 -8961 -1743
-0.019765 -0.064750 -656 -2140
-0.085975 -0.057024 -2795 -1898
0.022506 0.063192 683 2070
-0.192344 -0.069918 -6288 -2282
-0.030895 0.026779 -1022 839
0.055027 -0.048863 1795 -1609
-0.159107 0.048321 -5246 1594
-0.171602 -0.048118 -5579 -1628
-0.077175 -0.041850 -2507 -1411
-0.083739 0.137314 -2772 4510
-0.133303 -0.157584 -4391 -5177
-0.101969 0.261710 -3366 8535
0.008257 -0.087783 251 -2872
-0.060241 0.190656 -1978 6227
0.127805 0.189971 4186 6191
0.020340 0.075490 637 2461
0.115134 0.123279 3755 3998
0.049142 0.108416 1586 3539
0.329483 -0.236780 10773 -7758
0.096967 -0.010905 3184 -399
-0.152487 -0.047364 -4990 -1579
0.136852 0.064395 4468 2088
-0.032637 -0.076060 -1045 -2493
-0.077672 0.013454 -2573 406
-0.076805 -0.199146 -2496 -6501
-0.055367 -0.141230 -1824 -4647
-0.090753 -0.050827 -2932 -1640
-0.057974 0.036233 -1869 1142
-0.179565 0.005053 -5881 120
0.195117 0.056811 6358 1869
0.023263 -0.276368 760 -9058
-0.017564 0.014821 -574 469
-0.083259 0.079763 -2731 2587
0.131549 0.055319 4303 1816
0.310938 -0.018110 10148 -591
-0.061398 0.015942 -2032 502
0.198005 -0.177452 6482 -5821
-0.139823 0.143711 -4552 4679
0.079368 0.001798 2602 54
0.153566 -0.010899 5005 -404
-0.183029 0.050403 -5966 1655
0.103586 -0.106565 3402 -3545
-0.030390 0.222612 -1057 7275
-0.005139 0.278151 -183 9113
0.069359 -0.042792 2196 -1433
-0.054657 0.109067 -1760 3502
-0.157597 0.026020 -5183 859
-0.147682 -0.040722 -4856 -1304
0.277359 -0.344261 9070 -11232
-0.050221 -0.003729 -1671 -132
-0.014384 -0.140027 -513 -4579
0.096703 -0.135906 3098 -4478
-0.037548 -0.070155 -1252 -2292
0.084658 -0.116443 2750 -3859
-0.186848 -0.016651 -6122 -545
0.060151 -0.262407 1946 -8603
-0.033895 0.102441 -1088 3303
0.144280 0.103633 4713 3381
0.085258 -0.046395 2803 -1543
-0.036705 -0.059906 -1195 -1999
-0.091485 0.022226 -2969 696
-0.077655 0.341076 -2514 11109
-0.041791 -0.241366 -1376 -7909
-0.112155 0.190304 -3686 6231
0.005725 -0.147856 180 -4881
-0.116681 -0.068119 -3834 -2262
-0.078277 0.019568 -2575 624
0.107965 0.094047 3516 3051
0.308925 -0.143691 10079 -4703
-0.016190 0.139302 -521 4519
-0.127368 -0.114455 -4157 -3745
0.086088 0.224169 2801 7301
0.125229 -0.055833 4070 -1881
0.214149 -0.086234 6974 -2794
-0.283135 0.169809 -9273 5554
0.108085 -0.044022 3510 -1442
0.082775 -0.128475 2695 -4177
-0.063710 0.086951 -2097 2834
0.083732 0.093828 2736 3067
-0.086064 0.002135 -2780 46
-0.061078 -0.024638 -1998 -811
0.164567 -0.090071 5335 -2956
0.029752 -0.052310 994 -1736
-0.035924 0.085337 -1171 2821
-0.056852 0.004537 -1847 125
0.092115 -0.255715 3011 -8369
0.112700 -0.180800 3707 -5898
0.216944 0.054063 7095 1754
-0.010257 -0.029423 -329 -938
0.116673 0.131638 3792 4301
-0.004026 -0.064493 -163 -2108
-0.012651 0.074605 -416 2395
-0.045391 -0.099432 -1472 -3261
0.247503 -0.027313 8038 -881
0.101861 0.054898 3365 1788
-0.001959 -0.078372 -79 -2577
-0.174176 -0.054168 -5719 -1772
-0.083625 0.118374 -2745 3852
0.066431 0.165759 2135 5441
0.172304 0.126208 5631 4128
-0.127365 0.131938 -4142 4298
-0.011541 0.062329 -368 2015
0.140071 0.094670 4542 3093
-0.158993 -0.142283 -5210 -4655
-0.072403 -0.114153 -2394 -3712
-0.097587 0.259006 -3148 8498
0.072236 -0.018819 2319 -597
0.047827 0.028196 1576 889
-0.036203 -0.093722 -1206 -3045
-0.004575 0.038796 -155 1274
-0.098323 -0.034492 -3192 -1132
0.032931 -0.160078 1066 -5222
0.089475 -0.007140 2937 -211
-0.043608 -0.212407 -1396 -6995
0.107866 -0.076400 3535 -2503
-0.031102 -0.038273 -1034 -1212
0.065261 -0.172652 2105 -5601
-0.108424 0.093672 -3557 3045
0.142724 0.017734 4671 623
-0.004819 0.007920 -171 263
-0.007073 -0.180314 -221 -5902
0.017369 -0.211501 576 -6926
0.128370 0.139707 4125 4519
0.061965 0.002522 2015 65
0.083954 -0.014495 2698 -450
0.007018 -0.073946 211 -2406
0.102404 -0.190028 3372 -6223
-0.005573 -0.041247 -197 -1353
-0.147448 -0.017356 -4818 -579
-0.138740 0.002957 -4549 76
0.018319 0.015759 566 502
0.007995 -0.037754 266 -1256
-0.043672 0.165211 -1406 5386
0.029828 0.195810 972 6388
0.119594 -0.036875 3913 -1244
0.064042 0.046608 2129 1506
0.228848 -0.034476 7479 -1119
0.071482 0.103324 2353 3356
0.253074 0.121887 8260 3972
0.190130 0.158955 6213 5176
-0.006102 -0.124011 -207 -4038
-0.047625 -0.045624 -1536 -1483
-0.008583 0.151338 -311 4929
0.123597 0.070793 4069 2322
0.177155 0.112543 5752 3709
0.010607 -0.100507 340 -3320
0.263766 0.258850 8601 8408
0.056532 0.057329 1809 1865
-0.095505 -0.229574 -3113 -7497
-0.029491 0.082244 -916 2713
0.125246 0.001820 4065 27
-0.102123 0.050875 -3379 1617
0.034774 0.078147 1104 2536
0.029115 0.058050 953 1908
-0.162955 -0.149180 -5319 -4864
0.017576 0.017048 567 535
-0.066290 0.002647 -2180 103
-0.010607 -0.038038 -368 -1230
0.073547 0.104038 2371 3419
-0.097392 0.016804 -3198 553
-0.001303 -0.059911 -15 -1921
-0.058407 -0.065646 -1893 -2175
0.238565 -0.017819 7799 -597
0.136020 -0.068017 4466 -2233
-0.079628 -0.214311 -2598 -7021
-0.026437 0.105948 -844 3466
-0.032473 0.041536 -1040 1371
0.046825 -0.028428 1514 -929
0.070543 -0.015944 2291 -519
0.053742 -0.020984 1745 -675
0.182205 -0.033989 5929 -1116
0.150011 -0.061438 4901 -1987
-0.176714 0.199387 -5756 6452
0.008213 -0.013945 262 -427
-0.043554 -0.112206 -1391 -3665
0.033936 0.244691 1083 7996
-0.039610 0.114523 -1343 3701
0.063191 0.027062 2069 872
0.072985 0.203209 2328 6662
-0.136824 -0.139063 -4447 -4546
0.148010 0.008110 4873 286
0.256280 -0.035462 8344 -1195
0.009470 -0.034437 318 -1107
-0.021897 0.013491 -754 432
-0.262346 0.080487 -8567 2578
-0.145354 -0.033707 -4741 -1119
0.012107 0.034390 378 1108
0.158304 -0.114178 5140 -3730
-0.253312 0.159708 -8236 5190
-0.135595 0.065058 -4429 2123
-0.123826 -0.097474 -4042 -3214
0.208802 0.138360 6787 4542
0.010399 -0.078073 327 -2551
0.027396 -0.133387 896 -4374
0.066606 -0.052977 2173 -1720
0.015826 -0.183064 510 -6036
-0.096782 0.008895 -3185 296
-0.025343 0.128057 -837 4173
-0.097121 0.101980 -3179 3301
0.062799 0.110335 2056 3624
-0.098525 -0.229105 -3191 -7466
0.066683 0.116018 2175 3772
-0.287809 -0.003867 -9441 -108
-0.159914 -0.043249 -5247 -1408
-0.192767 0.093228 -6276 3063
-0.236195 0.195380 -7713 6379
0.002031 0.037690 74 1227
-0.244418 -0.061578 -7977 -2049
-0.132291 0.019054 -4321 607
0.005520 0.088984 185 2895
0.176959 0.024465 5757 828
0.062660 0.033734 2022 1107
0.260646 0.193800 8493 6341
0.118424 -0.025395 3886 -848
-0.094653 0.089778 -3095 2896
0.100424 0.033362 3303 1087
-0.058496 -0.156091 -1919 -5073
0.002683 -0.107521 62 -3511
0.012060 -0.082519 428 -2686
-0.116116 -0.173298 -3782 -5650
0.087359 -0.190167 2834 -6187
0.019748 0.212937 635 6978
-0.076526 -0.092825 -2539 -3048
0.081991 0.210852 2673 6894
-0.118695 0.034282 -3892 1086
-0.068326 -0.042712 -2197 -1388
-0.003681 0.042975 -126 1429
-0.031777 -0.014918 -1049 -502
-0.235921 0.102761 -7709 3327
-0.066297 0.010906 -2179 320
-0.092083 -0.106038 -3037 -3508
0.190794 0.208578 6250 6838
0.094299 -0.172414 3099 -5596
-0.287082 -0.091054 -9410 -2975
-0.075283 0.069582 -2443 2279
0.083789 -0.020924 2755 -705
-0.032833 0.017771 -1072 564
0.231228 -0.006363 7549 -198
0.185991 -0.171001 6068 -5581
-0.018269 0.015708 -594 475
-0.163182 0.035399 -5325 1169
0.094590 -0.049811 3114 -1629
-0.000935 0.038320 -26 1263
-0.100741 -0.214541 -3294 -7019
-0.193019 -0.169676 -6278 -5524
0.033761 0.246550 1109 8102
0.030684 -0.012584 948 -409
-0.280178 0.061181 -9169 2004
-0.057169 0.015131 -1820 481
0.011077 -0.078075 337 -2559
0.005071 -0.084506 132 -2801
-0.223558 -0.008439 -7314 -267
0.179480 -0.025706 5836 -846
0.114181 -0.065298 3727 -2129
0.103649 -0.067828 3381 -2235
0.082346 -0.045816 2718 -1540
-0.167302 0.155813 -5444 5084
0.087194 0.091320 2845 3009
0.187681 -0.115403 6133 -3747
-0.140069 -0.078522 -4590 -2602
0.022316 -0.109160 718 -3531
-0.059434 -0.000639 -1944 -32
0.162072 -0.109734 5270 -3634
-0.116184 -0.197810 -3765 -6449
-0.025608 -0.153129 -866 -4993
-0.015494 0.259783 -470 8504
0.002473 -0.058947 56 -1969
0.015497 0.022760 484 715
-0.044136 0.079668 -1426 2563
0.009339 -0.062907 317 -2084
0.052741 0.108769 1715 3586
-0.000676 0.131705 -30 4242
-0.034092 0.079585 -1108 2586
-0.033245 -0.056562 -1101 -1853
-0.152802 0.056804 -4992 1912
0.284787 0.026428 9268 865
-0.066511 -0.117017 -2186 -3817
-0.214661 0.085253 -7053 2808
0.070188 0.072020 2297 2331
-0.184090 0.078506 -6060 2566
0.178533 0.143357 5831 4653
-0.070502 -0.142586 -2302 -4682
-0.100119 0.004180 -3258 149
-0.191327 -0.157654 -6250 -5168
0.147801 0.089156 4797 2918
-0.077287 -0.006963 -2544 -224
-0.112159 0.119805 -3643 3897
-0.052581 0.009389 -1689 304
0.069573 -0.006988 2282 -249
0.144654 0.059418 4721 1946
0.182450 0.040288 5968 1321
0.140567 0.049429 4578 1596
0.231030 0.117512 7505 3828
0.209962 -0.074426 6833 -2444
0.166465 -0.208800 5478 -6858
-0.119957 0.303658 -3980 9925
0.114958 -0.037667 3731 -1218
-0.031601 -0.039035 -1026 -1296
-0.027532 -0.059831 -887 -1953
0.247069 -0.106412 8086 -3482
0.049057 -0.086263 1569 -2802
0.210734 0.171667 6876 5550
-0.163894 -0.165843 -5320 -5399
0.220857 0.006101 7235 191
-0.261885 -0.096567 -8519 -3137
0.051158 0.241341 1675 7883
-0.111531 -0.118870 -3646 -3858
0.028704 -0.076653 887 -2508
-0.008505 -0.140291 -295 -4571
-0.091596 0.007084 -3030 260
0.129993 0.151059 4253 4991
0.000690 -0.085281 26 -2813
-0.114532 0.071077 -3740 2359
-0.075526 0.019742 -2463 640
-0.192023 0.137663 -6243 4551
0.030579 0.279510 1041 9236
-0.009965 0.140077 -324 4526
0.204109 0.165688 6672 5398
0.103526 -0.069570 3392 -2288
0.094264 0.138245 3071 4503
-0.233046 -0.015254 -7609 -470
-0.000310 -0.044232 -11 -1441
-0.188466 -0.096591 -6144 -3171
0.043090 -0.101543 1405 -3293
0.014058 -0.015537 451 -510
-0.082843 -0.117614 -2713 -3825
-0.063722 0.143796 -2086 4676
0.080997 -0.069588 2675 -2259
0.082351 -0.017423 2664 -592
-0.097083 0.111895 -3174 3667
-0.196990 -0.057690 -6467 -1860
-0.016889 -0.110403 -544 -3646
-0.032257 0.042510 -1011 1396
0.066764 0.239906 2241 7824
0.002766 -0.163154 105 -5344
-0.019832 -0.004208 -630 -144
-0.017672 0.018681 -558 603
-0.011912 0.133784 -403 4366
-0.028045 0.112891 -941 3706
-0.069882 0.075269 -2278 2482
-0.105951 0.056088 -3430 1799
0.125338 0.088176 4042 2863
-0.005435 0.031070 -152 1029
0.018570 -0.094897 637 -3088
0.078710 -0.071316 2579 -2305
0.095554 -0.141789 3161 -4618
-0.022060 -0.102411 -706 -3305
-0.051816 -0.105466 -1729 -3455
0.088669 0.130117 2864 4205
-0.091614 0.046949 -2985 1533
-0.041298 -0.010521 -1381 -364
-0.125638 0.020906 -4114 657
0.048139 0.073968 1581 2362
0.170643 -0.107764 5523 -3562
-0.068020 0.043578 -2216 1431
