data = [
0.157476 0.133548 2422 1649
-0.007744 0.044172 -429 288
0.080587 -0.018426 2471 -1751
0.112876 0.039371 3482 97
0.074621 0.250007 2396 7845
-0.040288 0.043485 -1418 1087
0.039155 -0.128201 1237 -4503
0.013865 0.022251 398 425
-0.153198 0.039994 -5001 1008
0.018027 0.174777 521 5441
0.118695 -0.023878 3828 -1057
-0.088121 -0.157872 -2915 -5452
0.138853 -0.033920 4478 -1414
-0.064469 0.125104 -2180 3743
-0.011095 -0.004934 -436 -465
-0.082301 0.102385 -2732 3045
-0.099041 0.007233 -3219 188
-0.036585 -0.269933 -1193 -8887
-0.056431 -0.008272 -1857 -295
0.021899 0.000343 742 -83
-0.085168 -0.114343 -2754 -3810
-0.057516 -0.024635 -1839 -903
0.137687 -0.031193 4470 -1127
0.021728 0.148244 672 4770
0.058527 -0.025534 1881 -936
0.022751 0.102149 735 3286
-0.150427 -0.090759 -4899 -3101
-0.023395 0.092995 -759 2983
0.087019 -0.044677 2837 -1540
-0.179017 -0.067239 -5864 -2278
-0.030477 -0.014233 -983 -475
-0.032136 -0.004804 -1053 -205
0.047165 0.018218 1534 503
-0.044739 0.073618 -1462 2341
-0.040545 0.035821 -1351 1058
-0.035858 0.151750 -1190 4873
0.041911 0.017980 1319 536
-0.002132 -0.100290 -53 -3352
-0.033332 -0.076247 -1084 -2577
0.164971 -0.103963 5394 -3483
-0.094099 0.154355 -3064 4968
0.072871 -0.096091 2316 -3222
0.106003 0.119294 3489 3872
-0.013256 0.018040 -456 538
0.026603 0.108733 859 3462
0.029432 -0.003249 965 -187
-0.007938 0.035423 -264 1095
0.051617 0.060197 1663 1894
0.005037 0.169203 161 5441
-0.025945 0.112399 -834 3618
0.043787 0.119648 1408 3833
0.171640 0.064793 5548 2052
-0.075904 0.156230 -2462 5009
-0.012250 -0.062101 -389 -2126
0.041031 -0.116615 1351 -3890
-0.031628 -0.031622 -1066 -1133
-0.053548 -0.063116 -1757 -2160
-0.028489 -0.100049 -951 -3373
0.061319 0.043075 1987 1313
0.086456 -0.216806 2834 -7154
0.038932 -0.116642 1272 -3847
