data = [
0.020718 -0.026357 -1975 -3425
0.000553 0.023752 -138 -388
0.021947 0.000023 551 -1171
-0.013486 0.025662 -593 -324
0.017848 -0.016703 546 -797
-0.043654 0.006429 -1430 -23
-0.016401 -0.021299 -607 -944
0.039690 0.019898 1264 372
-0.002997 0.005676 -134 -112
0.027335 0.006667 850 -126
0.042684 0.015256 1286 186
0.014309 -0.023713 396 -1032
-0.009765 -0.025406 -332 -1106
0.026465 -0.031322 826 -1275
-0.026296 0.009605 -918 21
-0.013331 0.052200 -498 1388
-0.023600 -0.026186 -774 -912
0.000275 0.003059 10 58
0.002230 0.013187 75 364
0.006452 0.000479 186 -31
-0.019173 0.001774 -670 -30
0.003245 -0.004744 132 -193
-0.027547 -0.002065 -907 -133
-0.044638 0.026559 -1483 824
0.018892 0.001622 599 -20
0.000571 -0.042612 -45 -1407
-0.004987 -0.023458 -193 -833
0.026998 -0.010107 841 -403
-0.039725 -0.014843 -1277 -508
0.030503 -0.022278 965 -787
0.008531 -0.009808 293 -400
0.010732 0.016238 329 447
-0.021189 -0.004256 -686 -176
-0.001343 0.009458 -22 245
-0.000255 0.007045 -10 131
0.005253 -0.000109 101 -70
0.007120 -0.023502 203 -842
0.040108 -0.009429 1284 -387
0.007512 0.009835 268 192
-0.026516 0.019886 -870 584
-0.021149 -0.010197 -658 -407
-0.003004 -0.012883 -118 -513
-0.003748 0.020836 -114 634
-0.004142 0.005728 -151 108
-0.002545 0.035635 -89 1067
-0.009697 0.013116 -350 326
0.011243 0.018240 380 525
-0.029668 0.000500 -936 -74
-0.011374 -0.026283 -391 -904
-0.011779 0.038554 -433 1154
0.023075 0.025633 726 768
0.003572 -0.007165 132 -316
0.008195 0.005382 244 61
-0.029760 0.029258 -978 897
-0.010140 0.007811 -384 141
-0.004616 -0.003273 -166 -211
0.017101 0.016440 516 413
-0.015975 -0.024690 -562 -893
-0.034526 0.021995 -1096 675
0.062635 -0.004677 1992 -195
-0.008841 0.012132 -269 311
