data = [
0.000000 0.000000 -2 0
-0.000089 0.007284 -11 -21
-0.000359 0.014634 -36 35
-0.000815 0.022115 -15 49
-0.001464 0.029799 -12 135
-0.002320 0.037764 -11 167
-0.003400 0.046097 -20 215
-0.004727 0.054897 -25 275
-0.006331 0.064284 -41 328
-0.008250 0.074397 -44 376
-0.010534 0.085411 -58 438
-0.013248 0.097543 -74 508
-0.016476 0.111070 -91 583
-0.020330 0.126353 -1 229
-0.024965 0.143877 -138 774
-0.030591 0.164303 -171 906
-0.037509 0.188568 -213 1062
-0.046159 0.218040 -265 1243
-0.057218 0.254802 -332 1478
-0.071768 0.302200 -426 1776
-0.091670 0.365966 -547 2181
-0.120402 0.456811 -731 2768
-0.165308 0.597345 -1020 3674
-0.245032 0.844954 -1538 5296
-0.424834 1.400489 -2712 8935
-1.205031 3.803779 -7839 24736
1.917256 -5.803617 12713 -32767
0.579537 -1.684589 3920 -11406
0.356806 -0.997206 2467 -6898
0.265242 -0.713572 1873 -5042
0.215407 -0.558422 1557 -4039
0.184114 -0.460390 1361 -3411
0.162667 -0.392713 1231 -2979
0.147072 -0.343093 1145 -2675
0.135237 -0.305089 1079 -2437
0.125959 -0.275000 1032 -2259
0.118500 -0.250547 999 -2116
0.112379 -0.230252 972 -2003
0.107272 -0.213112 959 -1907
0.102950 -0.198425 944 -1832
0.099249 -0.185681 944 -1769
0.096047 -0.174505 940 -1718
0.093252 -0.164612 948 -1678
0.090793 -0.155783 953 -1641
0.088615 -0.147846 966 -1614
0.086675 -0.140664 976 -1592
0.084936 -0.134128 996 -1582
0.083370 -0.128148 1018 -1568
0.081953 -0.122652 1043 -1566
0.080667 -0.117577 1073 -1560
0.079494 -0.112873 1103 -1573
0.078421 -0.108497 -2024 -4728
0.077437 -0.104412 1179 -1593
0.076531 -0.100587 1228 -1621
0.075696 -0.096995 1279 -1629
0.074923 -0.093613 1339 -1683
0.074206 -0.090420 1390 -1696
0.073540 -0.087399 1460 -1743
0.072920 -0.084535 1536 -1782
0.072342 -0.081813 1621 -1856
0.071802 -0.079221 1724 -1912
0.071297 -0.076749 1837 -1983
0.070823 -0.074387 1965 -2070
0.070378 -0.072127 2119 -2171
0.069960 -0.069960 0 0
