data = [
-0.634808 -0.152996 -23455 -7706
-0.069954 0.170381 -2440 4407
0.506826 -0.255648 16393 -9564
0.348492 0.190482 11232 5019
0.239153 -0.306194 7739 -10287
0.334841 0.060202 10940 1702
0.572389 0.030087 18688 678
-0.099572 0.286340 -3322 9057
-0.304623 -0.425595 -9981 -14200
0.325381 -0.804798 10607 -26642
0.205096 -0.264560 6684 -8915
0.526721 0.022652 17177 470
0.300057 0.301719 9780 9588
-0.200519 -0.118771 -6586 -4165
0.066645 -0.124889 2109 -4383
0.431561 0.345056 14081 10957
0.185248 0.339055 6045 10997
-0.025151 -0.226159 -860 -7496
0.409659 -1.133482 13392 -37187
-0.238143 0.121539 -7836 3901
0.056065 0.097202 1819 3071
-0.615160 0.078977 -20159 2525
-0.176174 -0.021267 -5808 -835
0.771121 -0.397214 25239 -13073
0.291151 -0.502857 9510 -16528
0.162164 -0.530832 5280 -17505
-0.123163 -0.148822 -4040 -4958
0.459801 0.245638 15118 8006
0.460402 0.522885 15011 17034
0.126248 -0.237171 4092 -7869
0.753018 -0.313678 24673 -10298
-0.855416 -0.311329 -28043 -10253
-0.200874 0.059334 -6610 1866
-0.150541 -0.480951 -4977 -15823
0.102247 -0.090081 3334 -3078
0.371633 -0.478471 12167 -15702
0.305390 0.437016 9996 14196
0.316382 -0.231963 10336 -7673
0.097092 -0.230957 3230 -7640
0.317057 -0.325042 10368 -10709
0.016048 0.247674 451 8053
-0.138570 -0.413645 -4579 -13635
0.143604 -0.047867 4662 -1666
0.163907 0.108351 5399 3439
0.023186 -0.090705 721 -3052
0.307319 0.437800 10031 14273
0.356537 0.125755 11639 4014
-0.288353 -0.139202 -9451 -4617
0.269570 -0.475839 8818 -15611
-0.538285 -0.530232 -17633 -17424
-0.074056 -0.320261 -2476 -10593
0.554680 -0.108194 18141 -3614
-0.450924 -0.398124 -14720 -13138
0.570140 0.019043 18633 542
0.005241 -0.183098 185 -6053
0.046179 0.094908 1483 3038
0.317954 -0.037465 10402 -1263
-0.689000 -0.531091 -22599 -17455
-0.082552 -0.044410 -2731 -1542
-0.249103 -0.679601 -8228 -22328
0.190505 0.314216 6251 10209
-0.281456 -0.288112 -9235 -9525
-0.158751 -0.007048 -5180 -270
0.214173 0.253341 7041 8204
-0.570653 0.334437 -18686 10920
0.240191 0.352743 7912 11465
0.992505 0.187032 32455 6100
0.137590 -0.038276 4513 -1278
0.033474 0.091189 1114 2970
0.122929 0.229287 4016 7490
0.155715 0.090228 5113 2908
0.036863 0.128249 1158 4197
-0.268027 0.008514 -8764 272
0.671009 0.599925 21960 19672
0.614462 0.602970 20137 19746
