data = [
-0.001685 -0.002307 -2499 -2493
0.003113 -0.001676 -98 -1136
0.002193 -0.000577 -68 -1065
-0.004016 -0.002012 -301 -1150
-0.004848 -0.000117 -200 -250
0.004760 0.007166 114 -64
0.004271 0.000750 80 -255
-0.006947 0.003395 -253 -155
-0.002397 0.003420 -91 -180
0.002952 -0.005140 43 -425
-0.001223 -0.002886 -67 -407
0.005898 -0.000262 132 -310
0.004194 -0.002862 104 -360
0.003219 0.002378 59 -241
0.001582 -0.015704 15 -752
0.006189 0.002246 130 -203
-0.002055 0.001032 -73 -47
0.004174 -0.010409 125 -372
0.006627 0.010400 151 281
-0.002284 0.000921 -46 -24
0.004014 -0.005838 95 -253
0.005246 -0.001793 166 -130
-0.000967 -0.001023 -73 -120
0.001074 -0.005391 19 -226
0.003021 0.005158 89 93
0.000238 -0.007624 -38 -318
0.011903 0.006707 379 154
-0.012148 -0.002025 -397 -128
-0.001801 0.002704 -99 9
-0.005646 0.001093 -192 -24
0.003838 -0.000454 105 -91
-0.012952 -0.014165 -413 -515
0.005479 0.007183 153 106
-0.001881 0.003001 -70 10
0.008161 -0.001145 275 -122
0.005320 -0.001765 139 -121
0.001352 -0.001790 34 -142
0.018623 0.005318 586 88
-0.008697 0.006866 -301 130
-0.012063 -0.005479 -393 -240
0.000769 -0.002550 -35 -170
-0.003426 -0.012585 -151 -498
-0.000720 0.007384 -73 114
-0.004214 -0.002294 -134 -126
0.012843 -0.004035 383 -198
0.003158 0.001202 118 6
-0.005728 -0.000622 -167 -43
-0.000894 -0.002757 -26 -150
0.000482 0.007422 -12 168
-0.009267 -0.000870 -294 -99
0.007221 -0.004436 187 -188
-0.003906 0.002833 -109 -19
-0.003986 -0.001992 -138 -151
-0.006442 0.013208 -181 367
0.001511 -0.001809 43 -143
0.000987 -0.001382 51 -83
-0.004582 -0.004415 -148 -182
0.001915 0.013002 47 350
-0.007511 -0.001367 -237 -98
-0.011303 0.000172 -378 -70
0.003214 -0.005638 103 -213
-0.001099 -0.004025 -47 -187
0.005424 -0.001671 182 -158
-0.006394 0.004607 -235 77
-0.000511 0.007370 -44 210
0.007345 -0.008731 175 -281
-0.001445 0.005910 -67 195
0.006572 -0.005484 169 -156
-0.005704 0.007041 -185 195
0.001234 0.007838 19 224
0.000647 0.010973 -29 358
0.005485 -0.005501 157 -170
-0.011083 -0.000323 -327 -29
0.005125 0.002463 161 87
0.007260 -0.013528 229 -466
-0.003796 -0.007637 -80 -245
0.002453 0.008944 70 264
0.004005 -0.006166 70 -199
0.002278 0.005654 84 146
-0.002442 -0.000893 -92 14
-0.000183 -0.009577 -1 -310
0.003357 0.010261 106 297
0.003372 -0.005300 98 -172
-0.011459 0.001844 -389 -1
-0.001112 0.000570 -37 -33
0.002507 -0.001572 43 -46
-0.000503 -0.007074 -50 -250
-0.001761 0.000958 -70 73
0.016141 -0.004461 458 -148
0.000567 -0.012954 9 -431
-0.006029 0.000043 -236 -49
-0.000716 -0.001951 -39 -57
-0.000366 0.013417 -14 384
-0.000625 -0.002206 -34 -66
-0.001926 -0.001812 -83 -43
0.008925 -0.007821 271 -236
-0.003261 0.004012 -85 104
-0.001241 0.004097 -64 102
0.004562 0.007142 152 213
0.001368 0.001920 29 30
-0.000338 0.008607 -5 218
0.002874 0.000933 46 24
0.008519 0.000513 287 4
0.002996 -0.002941 65 -109
-0.008083 0.005643 -233 145
0.001477 0.003690 37 100
-0.004821 0.006723 -193 196
-0.007254 0.012419 -239 391
0.014659 0.016666 426 455
0.000958 -0.007767 9 -317
