data = [
0.034691 -0.023783 -1536 -3394
0.038416 -0.072555 1090 -3531
-0.003786 -0.039011 -266 -2443
-0.018677 0.011925 -767 -789
0.004344 -0.028894 62 -1245
0.011212 0.030666 304 693
0.019081 0.018112 546 342
-0.036881 0.011340 -1317 83
0.022577 0.007220 654 -101
0.032725 0.028943 1036 655
-0.046842 0.042422 -1573 1093
0.056337 -0.011862 1763 -687
-0.044630 0.011472 -1453 72
0.020744 -0.027617 628 -1199
-0.029752 0.031034 -1018 730
-0.055970 -0.013969 -1879 -739
0.006242 0.003326 180 47
-0.061633 -0.023607 -2014 -842
-0.030018 0.041066 -1007 1248
-0.014169 -0.041769 -462 -1464
-0.045548 0.062965 -1503 1986
-0.004317 0.077882 -178 2473
0.076366 -0.012935 2521 -474
0.029506 0.054933 941 1712
-0.006503 0.012350 -196 314
0.037051 -0.016940 1165 -637
-0.037892 -0.057147 -1255 -1927
-0.004492 -0.025893 -130 -906
0.011908 0.004923 367 134
-0.050748 0.049283 -1684 1565
-0.022598 -0.082831 -786 -2774
-0.067656 -0.017654 -2223 -687
-0.067338 -0.009982 -2170 -407
0.008869 -0.019695 293 -696
0.044803 0.055919 1463 1735
-0.016070 0.009487 -490 274
-0.012570 -0.039992 -430 -1367
-0.001524 -0.005590 -80 -280
0.034334 -0.039286 1107 -1357
0.022676 -0.065582 725 -2214
-0.019310 -0.034250 -659 -1207
0.046909 -0.018132 1522 -674
0.015785 -0.028122 492 -983
0.004887 0.010417 177 300
-0.055999 -0.040618 -1807 -1352
-0.034497 -0.040181 -1160 -1392
-0.021472 -0.056374 -737 -1899
-0.045524 -0.016200 -1481 -604
-0.022289 -0.057708 -689 -1942
0.018825 0.011333 587 277
-0.039460 0.001338 -1296 -31
0.025958 0.055174 800 1764
0.037203 -0.003380 1171 -156
-0.021365 0.011817 -744 322
-0.019403 -0.014046 -657 -488
0.021713 0.064058 672 2015
-0.013094 0.029886 -425 901
0.062343 0.020839 1980 623
0.028993 -0.077941 912 -2646
-0.073399 0.030775 -2395 936
0.003424 0.082889 112 2602
0.057914 -0.013379 1849 -542
0.057887 -0.028229 1877 -1003
0.012514 0.045654 386 1385
-0.017377 0.038027 -559 1215
-0.020335 0.008829 -619 286
-0.007882 -0.053509 -242 -1798
0.049785 -0.030509 1609 -1035
-0.045584 0.033386 -1491 1058
-0.039292 0.001432 -1298 44
-0.021038 -0.019069 -646 -641
-0.016417 -0.013902 -555 -464
0.082677 -0.017634 2640 -539
-0.046797 0.054344 -1547 1778
-0.006517 0.018167 -237 552
0.068616 0.023331 2254 775
-0.028240 -0.053033 -934 -1754
0.026466 -0.040451 854 -1332
0.009778 -0.000303 326 -26
-0.048007 -0.005267 -1614 -194
0.045680 -0.072177 1503 -2346
-0.038058 0.011096 -1263 361
-0.035193 -0.006578 -1164 -231
-0.008766 0.000723 -227 29
-0.031727 0.020943 -1027 656
0.015991 -0.008646 510 -269
0.006688 0.004330 157 106
-0.002770 -0.021428 -169 -697
-0.015481 0.042190 -467 1334
0.048056 -0.006435 1574 -244
0.036309 0.065980 1214 2095
-0.029822 0.029414 -1012 908
0.024365 0.018295 800 590
0.019510 0.030509 610 986
-0.040476 0.034859 -1312 1164
0.040831 0.034295 1321 1036
-0.009506 0.010516 -319 294
-0.050421 -0.015230 -1647 -531
-0.059031 0.015734 -1958 453
-0.000144 0.021615 18 729
-0.010043 0.005557 -317 148
0.027571 0.006067 905 173
0.016660 0.043200 569 1389
-0.021819 0.006851 -705 216
-0.007868 -0.039004 -241 -1287
-0.012835 0.021456 -427 627
0.025914 -0.036447 838 -1171
-0.058039 0.059397 -1887 1861
-0.000448 -0.017122 -22 -575
0.052992 -0.022336 1765 -729
0.000371 0.017736 -27 541
-0.013487 0.009679 -428 268
-0.005768 -0.032035 -174 -1056
0.007623 0.034049 264 1090
0.038348 -0.054616 1249 -1790
-0.020082 0.034808 -635 1114
-0.018024 -0.092760 -590 -3004
-0.041219 0.037804 -1353 1220
-0.000464 -0.000206 -15 -42
0.050990 0.007503 1703 240
0.039800 0.047627 1293 1487
-0.012867 0.035795 -436 1141
0.001571 0.030401 55 1050
-0.007280 0.033310 -272 1071
-0.025683 0.016282 -840 508
0.008121 -0.061743 287 -2055
0.049362 -0.059799 1612 -1972
-0.072805 0.000844 -2376 26
0.024841 0.047515 752 1512
-0.088713 0.025521 -2858 860
0.022175 0.037690 746 1199
-0.000245 0.053491 -11 1665
0.066022 0.023931 2132 744
-0.031833 -0.033212 -1027 -1080
-0.019161 -0.005684 -622 -177
0.033960 -0.057059 1112 -1887
0.002964 -0.026355 92 -861
-0.013339 -0.016658 -394 -533
0.023086 -0.008070 753 -259
-0.062057 -0.026500 -2019 -894
0.045904 0.028467 1457 897
-0.013435 -0.030496 -433 -1015
0.008094 0.013404 270 456
-0.001814 -0.003494 -72 -92
-0.037451 0.027782 -1233 847
0.008768 0.047566 273 1555
0.057410 -0.021840 1829 -727
0.034319 -0.036463 1069 -1214
0.005519 -0.021913 176 -706
0.055494 0.000875 1799 15
-0.048737 -0.025378 -1585 -838
0.032790 0.127726 1068 4186
-0.046113 -0.031300 -1493 -1027
-0.057851 -0.071844 -1905 -2373
-0.064677 0.014796 -2121 512
-0.007603 0.097710 -258 3196
0.039934 0.013064 1289 410
-0.092425 0.005381 -3002 176
0.053372 -0.023177 1735 -804
-0.023664 0.041832 -801 1377
0.019664 0.057931 657 1884
0.009493 0.028817 355 903
-0.051906 0.035821 -1682 1097
-0.003650 0.026311 -98 833
0.067302 -0.018184 2181 -614
0.070640 0.016864 2266 528
0.007548 0.044161 217 1459
0.005103 0.014007 179 469
0.058447 0.053054 1884 1686
0.033347 0.029303 1026 963
-0.088939 -0.033634 -2909 -1105
0.029488 0.006647 961 239
0.042888 -0.083583 1397 -2734
0.018513 -0.003135 592 -90
0.094619 -0.031600 3086 -1023
-0.084515 0.015431 -2792 487
0.016059 -0.004229 499 -183
0.021618 0.008954 686 251
-0.003100 0.018490 -67 562
-0.036160 0.019301 -1168 608
-0.038842 0.015182 -1244 433
0.061641 -0.008533 1978 -284
0.016822 0.024370 563 791
0.034332 -0.013872 1121 -469
0.050194 0.033017 1626 997
0.057870 -0.002778 1840 -106
-0.050650 -0.029241 -1691 -978
-0.026521 0.016624 -844 533
0.034701 -0.021816 1119 -719
-0.015158 -0.020280 -499 -683
0.047402 -0.026283 1527 -873
-0.012465 0.004218 -432 103
0.029482 -0.041705 963 -1385
-0.073109 -0.024139 -2387 -768
-0.062724 0.066631 -2055 2137
0.065813 -0.050848 2143 -1697
-0.016031 -0.015499 -556 -516
-0.024605 0.043201 -794 1373
-0.096844 -0.015245 -3171 -515
-0.000019 -0.061139 -21 -2006
-0.006640 -0.023511 -214 -803
-0.014210 0.038971 -433 1255
0.021446 -0.054344 732 -1809
0.025751 -0.039004 870 -1324
-0.024560 0.046600 -802 1458
-0.092820 0.048798 -3051 1555
-0.012361 0.027026 -425 874
-0.021918 0.027735 -761 932
-0.002345 -0.003007 -82 -116
