data = [
0.001543 -0.007287 -2490 -2806
-0.019874 -0.009008 -790 -1383
-0.007654 0.012175 -370 -772
0.002085 -0.003486 -72 -1248
-0.000723 0.014405 -63 154
0.018894 0.001742 558 -208
0.022597 0.014554 659 179
0.011703 0.010463 312 80
0.006483 -0.017500 122 -840
0.032429 -0.013378 976 -679
-0.005017 0.005498 -148 -96
0.014074 -0.016270 442 -837
0.002490 0.008306 49 -10
0.011609 -0.026329 304 -1144
0.007742 -0.004092 230 -448
0.010660 -0.002619 276 -386
0.012561 -0.000417 361 -39
0.013976 0.005906 445 112
-0.026309 -0.008753 -834 -321
0.008981 -0.000655 228 -133
-0.013389 0.005963 -459 125
0.032432 0.016650 1024 440
-0.008876 0.008452 -317 175
-0.001152 0.008450 -52 199
-0.007827 0.012045 -214 312
-0.011863 -0.026239 -370 -940
0.011048 -0.013498 385 -460
0.006146 0.010568 211 258
-0.001672 0.018516 -38 483
0.012117 -0.001820 357 -132
-0.000663 -0.012770 -72 -433
0.007176 -0.001579 203 -145
0.008829 0.026078 278 791
-0.028933 -0.002387 -948 -157
0.014085 -0.008255 433 -324
0.004040 -0.005747 96 -240
-0.013220 0.010331 -460 266
-0.000099 0.022763 -47 667
-0.018466 -0.000270 -587 -137
0.000964 -0.017248 8 -642
0.010987 0.006434 362 137
-0.020219 -0.011184 -652 -426
-0.013662 -0.009392 -490 -389
0.039049 0.006951 1256 166
0.005595 0.014562 187 375
0.025213 0.009142 799 245
-0.011816 -0.011711 -369 -438
-0.006373 -0.004392 -203 -222
-0.001544 0.019174 -71 513
-0.007304 0.004779 -241 79
0.003393 0.007151 126 143
-0.013606 -0.012050 -427 -396
-0.014673 -0.010518 -506 -432
0.009195 -0.014255 300 -569
0.004003 0.016108 130 428
-0.023425 0.000613 -754 -78
-0.014610 0.009399 -452 213
-0.002388 -0.003899 -100 -157
-0.009305 0.003595 -343 65
-0.008623 -0.020388 -287 -746
0.029793 0.027097 920 767
-0.008226 0.004677 -267 90
-0.011118 -0.011187 -385 -439
-0.002226 0.007263 -75 196
-0.016272 0.003565 -523 110
0.013090 -0.026901 408 -874
0.016299 0.000085 510 -16
0.015509 -0.024387 523 -823
-0.007771 0.016598 -271 486
0.004599 0.003290 149 93
0.008560 0.016167 293 475
0.012180 -0.009363 355 -339
0.001719 -0.019436 54 -660
0.007336 -0.022558 216 -713
-0.004461 -0.010332 -135 -337
-0.013489 0.016148 -448 533
0.023971 0.002634 735 33
0.006981 -0.003351 262 -127
0.023687 -0.001894 792 -85
-0.003917 -0.008243 -117 -255
0.012245 -0.024558 331 -801
0.003910 0.009412 133 263
0.004048 0.010114 103 349
0.025437 0.011478 823 326
-0.009362 -0.008440 -249 -283
-0.010467 -0.000111 -379 -37
-0.004313 -0.006865 -175 -262
0.025945 0.009351 852 324
-0.011581 -0.006703 -413 -258
-0.015418 -0.006302 -510 -197
-0.010047 0.001513 -316 1
0.016428 -0.017531 477 -618
-0.012515 -0.000341 -436 8
0.009441 -0.000926 324 -7
0.011434 0.001635 374 50
0.003546 -0.005619 117 -216
0.004840 -0.000096 149 -29
-0.022031 0.007053 -733 208
0.025221 -0.002451 804 -87
-0.008086 0.016187 -221 514
0.017143 0.013662 533 411
0.004482 0.013485 203 437
0.004429 0.007360 116 188
-0.035724 0.001538 -1138 43
-0.013820 -0.014844 -444 -503
0.004467 -0.020194 175 -670
0.003837 0.002226 89 47
-0.002750 -0.019691 -159 -663
-0.013200 0.006491 -439 156
-0.007296 0.005710 -229 164
0.005855 -0.009768 194 -299
0.001664 -0.008589 19 -296
0.008226 0.002426 260 33
-0.002989 -0.002434 -105 -140
0.025656 -0.008219 794 -289
0.017173 -0.014949 585 -501
-0.000513 -0.007021 0 -259
-0.005219 0.006725 -199 208
-0.004354 -0.000517 -172 -10
0.009713 0.009588 349 300
0.009378 0.019135 272 575
0.001734 0.005478 71 165
0.004983 -0.000361 187 -37
-0.011417 -0.006519 -351 -236
0.005518 0.000804 181 7
-0.019113 -0.004786 -619 -159
0.004899 0.001937 162 62
0.012005 -0.002890 364 -100
0.025789 0.008104 784 244
0.000887 -0.018394 17 -612
-0.001839 0.008914 -107 285
-0.003943 -0.003020 -143 -103
-0.000104 0.005995 20 144
0.014561 -0.001790 498 -75
0.012003 -0.017770 372 -578
-0.006826 0.008103 -213 259
-0.003448 -0.009856 -96 -336
0.015820 0.009140 475 254
-0.007473 0.005387 -261 196
0.010458 -0.008246 324 -273
-0.004518 -0.007095 -123 -252
0.001602 -0.010624 36 -348
0.002905 -0.002615 132 -100
0.011532 -0.000281 355 -25
0.007521 -0.004438 214 -158
0.007690 0.012324 249 390
0.020022 0.003056 625 88
0.003880 -0.015722 102 -502
-0.013681 0.008889 -437 231
-0.007891 0.015757 -247 480
0.009354 0.009709 274 290
-0.017824 -0.022644 -586 -736
0.000195 0.006760 39 198
-0.019732 0.000168 -669 11
-0.012906 -0.007455 -405 -250
0.003458 0.008983 57 274
0.021163 -0.017427 657 -557
0.002432 -0.000644 121 -56
-0.006097 -0.005390 -174 -210
0.002557 -0.035579 85 -1200
-0.008418 -0.021771 -283 -689
-0.004307 0.017908 -145 529
-0.008473 -0.003434 -277 -151
-0.017535 0.021427 -544 707
-0.012515 -0.000239 -357 -33
0.022200 0.016253 703 513
0.013811 -0.015041 459 -505
0.024299 0.004109 807 111
-0.020438 -0.000471 -645 -51
0.011097 0.008528 348 260
0.017955 0.004274 607 99
0.008046 -0.010967 258 -329
-0.011153 0.010211 -345 299
0.001509 -0.011441 51 -440
