data = [
0.000000 0.000000 -144 0
-0.000010 0.000817 -10 -32
-0.000040 0.001642 -35 18
-0.000091 0.002481 -18 16
-0.000164 0.003344 -10 90
-0.000260 0.004237 -10 112
-0.000382 0.005172 -16 151
-0.000530 0.006160 -23 178
-0.000710 0.007213 -30 225
-0.000926 0.008347 -35 252
-0.001182 0.009583 -37 295
-0.001486 0.010944 -51 344
-0.001849 0.012462 -63 391
-0.002281 0.014177 -80 448
-0.002801 0.016143 -97 509
-0.003432 0.018435 -115 590
-0.004209 0.021158 -137 686
-0.005179 0.024464 -172 798
-0.006420 0.028589 -211 933
-0.008052 0.033907 -265 1103
-0.010286 0.041062 -340 1336
-0.013509 0.051255 -441 1672
-0.018548 0.067023 -615 2194
-0.027493 0.094805 -901 3109
-0.047667 0.157137 -1561 5136
-0.135207 0.426791 -4436 14001
0.215120 -0.651177 7053 -21368
0.065025 -0.189014 2133 -6199
0.040034 -0.111888 1309 -3665
0.029761 -0.080064 973 -2627
0.024169 -0.062656 789 -2060
0.020658 -0.051657 672 -1698
0.018252 -0.044063 593 -1438
0.016502 -0.038496 539 -1267
0.015174 -0.034232 494 -1128
0.014133 -0.030856 463 -1010
0.013296 -0.028112 433 -924
0.012609 -0.025835 415 -852
0.012036 -0.023912 389 -787
0.011551 -0.022264 380 -729
0.011136 -0.020834 366 -684
0.010777 -0.019580 348 -644
0.010463 -0.018470 339 -605
0.010187 -0.017479 334 -575
0.009943 -0.016589 323 -543
0.009725 -0.015783 312 -515
0.009530 -0.015049 308 -495
0.009354 -0.014378 302 -471
0.009195 -0.013762 300 -449
0.009051 -0.013192 290 -426
0.008919 -0.012665 294 -419
0.008799 -0.012174 298 -383
0.008689 -0.011715 280 -389
0.008587 -0.011286 283 -386
0.008493 -0.010883 277 -353
0.008406 -0.010504 285 -356
0.008326 -0.010145 269 -332
0.008251 -0.009806 276 -328
0.008182 -0.009485 265 -314
0.008117 -0.009180 262 -311
0.008056 -0.008889 259 -293
0.008000 -0.008611 257 -282
0.007946 -0.008346 258 -278
0.007897 -0.008093 257 -266
0.007850 -0.007850 254 -255
0.007806 -0.007616 252 -249
0.007764 -0.007392 252 -239
0.007725 -0.007176 249 -239
0.007688 -0.006968 252 -224
0.007653 -0.006767 246 -220
0.007619 -0.006573 248 -215
0.007588 -0.006385 240 -213
0.007558 -0.006203 244 -201
0.007530 -0.006027 249 -200
0.007503 -0.005856 249 -189
0.007478 -0.005690 249 -180
0.007454 -0.005528 243 -179
0.007431 -0.005371 199 -145
0.007409 -0.005218 234 -164
0.007388 -0.005069 237 -162
0.007368 -0.004923 240 -161
0.007349 -0.004781 238 -156
0.007331 -0.004642 239 -151
0.007314 -0.004507 236 -148
0.007298 -0.004374 237 -143
0.007282 -0.004244 228 -135
0.007267 -0.004117 234 -137
0.007253 -0.003992 238 -128
0.007239 -0.003869 237 -126
0.007226 -0.003749 235 -122
0.007214 -0.003631 239 -114
0.007202 -0.003515 230 -106
0.007191 -0.003401 232 -110
0.007180 -0.003289 237 -105
0.007170 -0.003178 226 -103
0.007160 -0.003069 230 -102
0.007150 -0.002962 232 -95
0.007142 -0.002856 233 -97
0.007133 -0.002751 230 -90
0.007125 -0.002648 233 -88
0.007117 -0.002547 231 -82
0.007110 -0.002446 239 -80
0.007103 -0.002346 229 -63
0.007096 -0.002248 232 -87
0.007090 -0.002151 230 -70
0.007084 -0.002054 216 -66
0.007078 -0.001959 221 -53
0.007073 -0.001864 216 -57
0.007068 -0.001770 229 -57
0.007063 -0.001677 222 -47
0.007059 -0.001585 226 -49
0.007054 -0.001493 230 -43
0.007050 -0.001402 228 -47
0.007047 -0.001312 224 -40
0.007043 -0.001222 223 -40
0.007040 -0.001133 228 -35
0.007037 -0.001044 226 -31
0.007035 -0.000955 228 -31
0.007032 -0.000867 233 -31
0.007030 -0.000780 230 -15
0.007028 -0.000692 228 -23
