data = [
0.000000 0.000000 -169 0
-0.000007 0.000579 -15 -37
-0.000029 0.001162 -39 3
-0.000065 0.001757 -14 -2
-0.000116 0.002367 -8 59
-0.000184 0.003000 -11 79
-0.000270 0.003662 -13 96
-0.000376 0.004361 -21 121
-0.000503 0.005106 -24 158
-0.000655 0.005910 -29 170
-0.000837 0.006784 -30 202
-0.001052 0.007748 -34 238
-0.001309 0.008823 -46 270
-0.001615 0.010037 -55 312
-0.001983 0.011429 -71 358
-0.002430 0.013051 -82 413
-0.002979 0.014979 -98 483
-0.003667 0.017320 -123 559
-0.004545 0.020240 -149 654
-0.005701 0.024005 -189 781
-0.007282 0.029070 -239 942
-0.009564 0.036286 -310 1180
-0.013131 0.047449 -434 1550
-0.019464 0.067117 -635 2190
-0.033746 0.111245 -1100 3620
-0.095719 0.302145 -3127 9876
0.152293 -0.460998 4978 -15082
0.046034 -0.133812 1504 -4374
0.028342 -0.079211 922 -2587
0.021069 -0.056681 685 -1854
0.017110 -0.044357 558 -1454
0.014625 -0.036570 478 -1196
0.012921 -0.031194 416 -1013
0.011682 -0.027253 381 -895
0.010742 -0.024234 349 -795
0.010005 -0.021844 324 -715
0.009413 -0.019902 306 -650
0.008927 -0.018290 291 -601
0.008521 -0.016928 276 -556
0.008178 -0.015761 264 -519
0.007884 -0.014749 255 -482
0.007629 -0.013861 248 -452
0.007407 -0.013076 240 -431
0.007212 -0.012374 234 -408
0.007039 -0.011744 225 -385
0.006885 -0.011173 222 -367
0.006747 -0.010654 216 -351
0.006622 -0.010179 214 -337
0.006510 -0.009743 210 -317
0.006408 -0.009339 203 -305
0.006314 -0.008966 205 -296
0.006229 -0.008618 193 -282
0.006151 -0.008294 199 -272
0.006079 -0.007990 208 -278
0.006013 -0.007705 193 -245
0.005951 -0.007436 203 -254
0.005894 -0.007182 190 -238
0.005841 -0.006942 187 -227
0.005792 -0.006715 186 -222
0.005746 -0.006499 189 -212
0.005703 -0.006293 182 -207
0.005663 -0.006096 186 -207
0.005626 -0.005909 181 -201
0.005590 -0.005729 180 -193
0.005557 -0.005557 178 -180
0.005526 -0.005392 179 -174
0.005496 -0.005233 177 -173
0.005469 -0.005080 174 -169
0.005442 -0.004933 174 -159
0.005418 -0.004790 174 -156
0.005394 -0.004653 175 -148
0.005372 -0.004520 173 -149
0.005351 -0.004391 172 -142
0.005331 -0.004267 169 -138
0.005312 -0.004146 173 -131
0.005294 -0.004028 174 -134
0.005277 -0.003914 168 -126
0.005261 -0.003802 149 -112
0.005245 -0.003694 167 -122
0.005230 -0.003588 168 -113
0.005216 -0.003485 170 -115
0.005203 -0.003385 164 -106
0.005190 -0.003287 169 -106
0.005178 -0.003191 168 -100
0.005166 -0.003097 164 -103
0.005155 -0.003005 166 -98
0.005145 -0.002914 165 -97
0.005135 -0.002826 163 -88
0.005125 -0.002739 166 -88
0.005116 -0.002654 164 -83
0.005107 -0.002571 163 -81
0.005099 -0.002489 168 -70
0.005091 -0.002408 163 -76
0.005083 -0.002328 168 -73
0.005076 -0.002250 159 -69
0.005069 -0.002173 166 -66
0.005062 -0.002097 163 -68
0.005056 -0.002022 159 -63
0.005050 -0.001948 159 -65
0.005044 -0.001875 162 -63
0.005039 -0.001803 160 -62
0.005033 -0.001732 171 -59
0.005028 -0.001661 162 -62
0.005024 -0.001591 174 -53
0.005019 -0.001523 163 -46
0.005015 -0.001454 148 -38
0.005011 -0.001387 160 -39
0.005007 -0.001320 144 -36
0.005004 -0.001253 161 -39
0.005000 -0.001187 152 -33
0.004997 -0.001122 152 -31
0.004994 -0.001057 158 -25
0.004991 -0.000993 161 -32
0.004989 -0.000929 158 -30
0.004986 -0.000865 155 -24
0.004984 -0.000802 157 -26
0.004982 -0.000739 158 -25
0.004980 -0.000676 154 -18
0.004978 -0.000614 160 -14
0.004977 -0.000552 156 -19
0.004976 -0.000490 161 -15
0.004974 -0.000428 154 -8
0.004973 -0.000367 157 -7
0.004972 -0.000305 156 -9
0.004972 -0.000244 159 -8
0.004971 -0.000183 157 -6
0.004971 -0.000122 156 0
0.004971 -0.000061 155 -2
0.004970 0.000000 190 0
0.004971 0.000061 156 -3
0.004971 0.000122 158 7
0.004971 0.000183 157 7
0.004972 0.000244 159 5
0.004972 0.000305 160 11
0.004973 0.000367 158 10
0.004974 0.000428 162 19
0.004976 0.000490 163 16
0.004977 0.000552 164 14
0.004978 0.000614 161 26
0.004980 0.000676 163 26
0.004982 0.000739 161 24
0.004984 0.000802 158 28
0.004986 0.000865 162 26
0.004989 0.000929 157 35
0.004991 0.000993 159 31
0.004994 0.001057 162 33
0.004997 0.001122 160 30
0.005000 0.001187 160 43
0.005004 0.001253 158 40
0.005007 0.001320 159 36
0.005011 0.001387 165 42
0.005015 0.001454 158 46
0.005019 0.001523 161 48
0.005024 0.001591 156 52
0.005028 0.001661 166 55
0.005033 0.001732 150 51
0.005039 0.001803 160 60
0.005044 0.001875 163 61
0.005050 0.001948 156 69
0.005056 0.002022 166 75
0.005062 0.002097 164 68
0.005069 0.002173 167 70
0.005076 0.002250 165 76
0.005083 0.002328 164 76
0.005091 0.002408 170 81
0.005099 0.002489 163 82
0.005107 0.002571 160 83
0.005116 0.002654 160 84
0.005125 0.002739 169 87
0.005135 0.002826 162 97
0.005145 0.002914 164 96
0.005155 0.003005 164 101
0.005166 0.003097 167 104
0.005178 0.003191 164 110
0.005190 0.003287 164 108
0.005203 0.003385 168 112
0.005216 0.003485 168 114
0.005230 0.003588 169 118
0.005245 0.003694 171 121
0.005261 0.003802 153 109
0.005277 0.003914 169 127
0.005294 0.004028 176 125
0.005312 0.004146 173 136
0.005331 0.004267 175 147
0.005351 0.004391 172 141
0.005372 0.004520 175 146
0.005394 0.004653 174 155
0.005418 0.004790 171 159
0.005442 0.004933 176 164
0.005469 0.005080 172 160
0.005496 0.005233 177 176
