data = [
0.002436 -0.016133 -2612 -3163
0.074870 0.068019 2241 1036
-0.094366 0.008629 -3216 -864
-0.037653 0.031754 -1404 -159
-0.067123 -0.015344 -2211 -856
0.037510 -0.028220 1194 -1221
-0.057755 0.038070 -1913 974
0.029377 -0.076510 935 -2833
0.053324 0.043817 1691 1129
-0.013876 0.044644 -499 1177
0.040897 0.018984 1322 348
0.019552 -0.017831 587 -900
0.084478 0.072962 2687 2051
0.035653 -0.041981 1142 -1697
-0.023285 -0.008040 -809 -559
-0.093362 0.067624 -3065 1869
-0.033777 0.040587 -1074 1235
-0.018818 -0.098231 -632 -3264
-0.053196 -0.009900 -1779 -393
-0.057735 0.090803 -1880 2870
0.026486 0.037330 836 1175
-0.018313 -0.011584 -593 -474
0.032474 0.041848 1036 1318
-0.019964 0.079749 -667 2477
-0.038077 0.024340 -1223 739
-0.060898 0.024437 -2020 711
-0.006686 -0.028400 -253 -1001
-0.026302 0.048656 -890 1522
0.027457 -0.007822 893 -306
-0.116702 -0.036535 -3801 -1247
0.026383 0.072311 833 2280
-0.036261 -0.038198 -1165 -1337
0.021316 -0.022172 641 -803
-0.019201 -0.028635 -617 -979
-0.048332 -0.011678 -1554 -471
0.077642 -0.062197 2525 -2069
0.081692 0.044668 2655 1368
-0.067573 -0.004621 -2246 -254
0.007493 -0.020903 276 -745
0.028594 0.009456 921 185
0.044715 0.076690 1434 2472
0.032567 -0.022794 1067 -799
0.042325 0.016562 1400 498
0.049201 -0.069470 1580 -2340
-0.085192 0.055597 -2764 1741
-0.018564 -0.023295 -635 -772
0.041697 0.090165 1351 2900
-0.026283 0.023457 -850 685
-0.000094 -0.027678 -8 -990
-0.041515 0.037099 -1397 1143
-0.061527 0.023829 -2026 723
-0.055507 0.006611 -1799 147
-0.059852 0.026732 -1971 765
0.120213 0.025662 3933 795
-0.073120 -0.073957 -2410 -2487
-0.016462 0.015497 -552 388
-0.030592 0.012895 -996 355
0.087417 0.039524 2820 1190
0.036666 -0.010003 1201 -432
-0.049753 0.006975 -1639 142
0.100870 -0.040898 3258 -1391
0.046692 -0.028456 1491 -1005
-0.036914 -0.007863 -1224 -323
0.117698 0.034127 3864 1067
-0.002366 -0.009739 -78 -359
0.081469 -0.001693 2637 -112
0.087208 0.075941 2846 2440
0.027180 0.037763 905 1233
-0.019685 -0.120778 -678 -3937
0.021545 -0.028792 663 -913
0.017094 -0.053998 545 -1816
0.017778 0.120322 571 3939
-0.021564 -0.033320 -713 -1092
0.010179 0.042657 324 1375
-0.003236 0.034371 -116 1135
-0.089229 0.023455 -2899 785
0.116683 0.028752 3801 899
-0.039753 -0.100458 -1331 -3299
-0.002421 -0.037779 -79 -1253
0.025233 -0.053179 857 -1757
-0.068765 -0.010572 -2222 -334
0.030017 -0.006085 979 -189
-0.025383 0.149924 -846 4867
-0.081233 0.089765 -2630 2885
-0.022860 -0.040548 -717 -1355
0.013140 0.025328 447 816
0.015733 -0.080659 506 -2636
-0.106790 0.026460 -3530 823
0.057049 0.005888 1809 159
-0.012939 -0.017069 -407 -593
0.064847 -0.028863 2144 -962
0.035314 -0.035988 1138 -1199
-0.062460 -0.065210 -2038 -2144
-0.029977 0.011571 -962 360
0.069816 -0.007706 2274 -262
0.034308 0.049817 1120 1575
-0.026075 -0.088880 -843 -2908
0.004325 0.050277 185 1555
0.082213 -0.044710 2681 -1487
-0.018419 0.021518 -615 665
-0.035216 0.040903 -1164 1300
0.032890 -0.012004 1030 -447
0.035281 0.015065 1163 460
-0.006289 -0.011117 -224 -386
-0.049169 0.085253 -1591 2760
-0.008607 0.002015 -286 45
