data = [
0.000000 0.000000 -169 0
-0.000004 0.000325 -7 -50
-0.000016 0.000654 -38 -15
-0.000036 0.000988 -14 -23
-0.000065 0.001331 -7 26
-0.000104 0.001687 -7 37
-0.000152 0.002059 -9 48
-0.000211 0.002452 -15 55
-0.000283 0.002871 -16 85
-0.000369 0.003323 -15 86
-0.000471 0.003815 -15 106
-0.000592 0.004357 -21 122
-0.000736 0.004961 -27 145
-0.000908 0.005644 -32 168
-0.001115 0.006427 -44 192
-0.001366 0.007339 -44 223
-0.001675 0.008423 -55 269
-0.002062 0.009739 -70 311
-0.002556 0.011382 -84 370
-0.003206 0.013499 -104 441
-0.004095 0.016347 -134 530
-0.005378 0.020405 -184 669
-0.007384 0.026682 -244 867
-0.010945 0.037743 -355 1242
-0.018977 0.062558 -619 2036
-0.053827 0.169909 -1764 5576
0.085641 -0.259238 2811 -8523
0.025887 -0.075248 847 -2475
0.015938 -0.044544 517 -1454
0.011848 -0.031874 387 -1056
0.009622 -0.024944 311 -825
0.008224 -0.020565 265 -678
0.007266 -0.017542 233 -569
0.006569 -0.015325 216 -510
0.006041 -0.013628 198 -449
0.005626 -0.012284 185 -399
0.005293 -0.011192 171 -367
0.005020 -0.010285 162 -342
0.004792 -0.009519 151 -321
0.004599 -0.008863 144 -288
0.004433 -0.008294 145 -271
0.004290 -0.007795 140 -257
0.004165 -0.007353 133 -240
0.004056 -0.006959 129 -227
0.003958 -0.006604 124 -217
0.003872 -0.006283 121 -214
0.003794 -0.005991 119 -201
0.003724 -0.005724 118 -187
0.003661 -0.005479 116 -180
0.003603 -0.005252 110 -170
0.003551 -0.005042 115 -164
0.003503 -0.004846 115 -151
0.003459 -0.004664 110 -157
0.003419 -0.004493 123 -169
0.003381 -0.004333 106 -134
0.003347 -0.004182 117 -155
0.003315 -0.004039 107 -135
0.003285 -0.003904 109 -130
0.003257 -0.003776 99 -124
0.003231 -0.003654 106 -125
0.003207 -0.003539 101 -117
0.003185 -0.003428 102 -120
0.003164 -0.003323 104 -110
0.003144 -0.003222 98 -109
0.003125 -0.003125 99 -101
0.003107 -0.003032 100 -96
0.003091 -0.002943 102 -94
0.003075 -0.002857 99 -93
0.003061 -0.002774 99 -88
0.003047 -0.002694 96 -86
0.003033 -0.002617 97 -88
0.003021 -0.002542 98 -82
0.003009 -0.002469 96 -79
0.002998 -0.002399 94 -75
0.002987 -0.002331 99 -72
0.002977 -0.002265 94 -79
0.002967 -0.002201 94 -70
0.002958 -0.002138 67 -43
0.002950 -0.002077 88 -64
0.002941 -0.002018 88 -67
0.002933 -0.001960 96 -66
0.002926 -0.001903 94 -63
0.002919 -0.001848 91 -57
0.002912 -0.001794 94 -57
0.002905 -0.001741 91 -59
0.002899 -0.001690 93 -54
0.002893 -0.001639 95 -52
0.002887 -0.001589 92 -47
0.002882 -0.001540 93 -52
0.002877 -0.001493 91 -51
0.002872 -0.001446 88 -46
0.002867 -0.001399 83 -45
0.002863 -0.001354 91 -42
0.002858 -0.001309 86 -35
0.002854 -0.001265 89 -39
0.002850 -0.001222 91 -40
0.002847 -0.001179 90 -38
0.002843 -0.001137 92 -40
0.002840 -0.001095 86 -35
0.002836 -0.001054 91 -37
0.002833 -0.001014 89 -33
0.002830 -0.000974 94 -40
0.002828 -0.000934 89 -37
0.002825 -0.000895 102 -28
0.002823 -0.000856 91 -25
0.002820 -0.000818 74 -19
0.002818 -0.000780 89 -22
0.002816 -0.000742 81 -21
0.002814 -0.000705 92 -23
0.002812 -0.000668 83 -22
0.002810 -0.000631 89 -23
0.002808 -0.000595 88 -11
0.002807 -0.000558 90 -18
0.002805 -0.000522 87 -21
0.002804 -0.000487 87 -16
0.002803 -0.000451 82 -14
0.002802 -0.000416 86 -13
0.002801 -0.000380 85 -7
0.002800 -0.000345 88 -6
0.002799 -0.000310 84 -6
0.002798 -0.000276 89 -9
0.002797 -0.000241 88 0
0.002797 -0.000206 89 -2
0.002796 -0.000172 83 -8
0.002796 -0.000137 88 -4
0.002795 -0.000103 90 -2
0.002795 -0.000069 86 1
0.002795 -0.000034 86 2
0.002795 0.000000 68 0
0.002795 0.000034 86 3
0.002795 0.000069 89 2
0.002795 0.000103 85 0
0.002796 0.000137 86 2
0.002796 0.000172 86 7
0.002797 0.000206 90 10
0.002797 0.000241 86 1
0.002798 0.000276 91 7
0.002799 0.000310 92 14
0.002800 0.000345 90 10
0.002801 0.000380 88 20
0.002802 0.000416 88 17
0.002803 0.000451 83 20
0.002804 0.000487 93 16
0.002805 0.000522 89 19
0.002807 0.000558 88 17
0.002808 0.000595 85 25
0.002810 0.000631 91 18
0.002812 0.000668 91 23
0.002814 0.000705 85 22
0.002816 0.000742 85 23
0.002818 0.000780 91 27
0.002820 0.000818 90 24
0.002823 0.000856 90 28
0.002825 0.000895 87 20
0.002828 0.000934 97 28
0.002830 0.000974 81 30
0.002833 0.001014 89 33
0.002836 0.001054 99 33
0.002840 0.001095 79 42
0.002843 0.001137 91 39
0.002847 0.001179 91 38
0.002850 0.001222 94 39
0.002854 0.001265 90 46
0.002858 0.001309 97 48
0.002863 0.001354 95 44
0.002867 0.001399 94 41
0.002872 0.001446 91 50
0.002877 0.001493 94 53
0.002882 0.001540 95 50
0.002887 0.001589 96 50
0.002893 0.001639 91 57
0.002899 0.001690 91 58
0.002905 0.001741 98 56
0.002912 0.001794 93 61
0.002919 0.001848 91 62
0.002926 0.001903 92 62
0.002933 0.001960 94 65
0.002941 0.002018 90 71
0.002950 0.002077 93 69
0.002958 0.002138 65 48
0.002967 0.002201 94 70
0.002977 0.002265 99 74
0.002987 0.002331 92 79
0.002998 0.002399 97 86
0.003009 0.002469 95 80
0.003021 0.002542 103 81
0.003033 0.002617 95 87
0.003047 0.002694 96 86
0.003061 0.002774 93 96
0.003075 0.002857 96 97
0.003091 0.002943 96 93
0.003107 0.003032 100 104
0.003125 0.003125 99 100
0.003144 0.003222 98 101
0.003164 0.003323 100 105
0.003185 0.003428 103 110
0.003207 0.003539 103 113
0.003231 0.003654 102 119
0.003257 0.003776 103 119
0.003285 0.003904 108 131
0.003315 0.004039 106 128
0.003347 0.004182 106 132
0.003381 0.004333 111 141
0.003419 0.004493 108 150
0.003459 0.004664 110 153
0.003503 0.004846 111 148
0.003551 0.005042 124 165
0.003603 0.005252 116 174
0.003661 0.005479 116 177
0.003724 0.005724 120 184
0.003794 0.005991 119 194
0.003872 0.006283 120 206
0.003958 0.006604 127 216
0.004056 0.006959 123 239
0.004165 0.007353 127 243
0.004290 0.007795 138 258
0.004433 0.008294 145 269
0.004599 0.008863 147 292
0.004792 0.009519 152 315
0.005020 0.010285 161 340
0.005293 0.011192 167 361
0.005626 0.012284 180 400
0.006041 0.013628 197 448
0.006569 0.015325 209 505
0.007266 0.017542 234 567
0.008224 0.020565 266 665
0.009622 0.024944 310 808
0.011848 0.031874 379 1034
0.015938 0.044544 517 1450
0.025887 0.075248 846 2475
0.085641 0.259238 2813 8518
-0.053827 -0.169909 -1771 -5586
-0.018977 -0.062558 -618 -2039
-0.010945 -0.037743 -365 -1243
-0.007384 -0.026682 -244 -876
-0.005378 -0.020405 -176 -663
-0.004095 -0.016347 -137 -533
-0.003206 -0.013499 -108 -438
-0.002556 -0.011382 -86 -371
-0.002062 -0.009739 -73 -317
-0.001675 -0.008423 -55 -272
