data = [
0.000000 0.000000 -170 0
-0.000056 0.004596 -10 84
-0.000227 0.009233 -40 266
-0.000514 0.013954 -26 396
-0.000924 0.018802 -33 598
-0.001464 0.023828 -54 761
-0.002145 0.029085 -72 935
-0.002983 0.034638 -100 1116
-0.003995 0.040560 -137 1318
-0.005206 0.046941 -179 1516
-0.006647 0.053891 -221 1747
-0.008359 0.061545 -277 1999
-0.010395 0.070080 -345 2278
-0.012828 0.079723 -425 2590
-0.015752 0.090780 -523 2955
-0.019302 0.103668 -637 3380
-0.023666 0.118979 -775 3890
-0.029125 0.137574 -957 4501
-0.036102 0.160769 -1182 5262
-0.045282 0.190676 -1485 6240
-0.057840 0.230909 -1895 7556
-0.075968 0.288229 -2491 9430
-0.104302 0.376899 -3422 12342
-0.154605 0.533130 -5067 17459
-0.268052 0.883649 -8776 28927
-0.760323 2.400022 -24908 32766
1.209707 -3.661835 32766 -32767
0.365663 -1.062904 11977 -32767
0.225129 -0.629194 7367 -20602
0.167356 -0.450233 5482 -14752
0.135913 -0.352340 4447 -11542
0.116168 -0.290486 3798 -9516
0.102636 -0.247785 3356 -8111
0.092796 -0.216477 3036 -7095
0.085329 -0.192498 2791 -6310
0.079475 -0.173513 2606 -5684
0.074768 -0.158085 2445 -5180
0.070906 -0.145279 2315 -4756
0.067684 -0.134465 -1 -4406
0.064957 -0.125197 2127 -4095
0.062622 -0.117157 2050 -3837
0.060601 -0.110105 1978 -3601
0.058838 -0.103863 1925 -3407
0.057287 -0.098292 1874 -3217
0.055913 -0.093284 1829 -3056
0.054688 -0.088753 1784 -2911
0.053591 -0.084629 1751 -2773
0.052603 -0.080856 1716 -2655
0.051709 -0.077388 1691 -2534
0.050897 -0.074186 1662 -2425
0.050157 -0.071218 1639 -2339
0.049480 -0.068457 1618 -2237
0.048859 -0.065879 1598 -2161
0.048288 -0.063466 1590 -2100
0.047761 -0.061200 1562 -2002
0.047273 -0.059066 1565 -1944
0.046821 -0.057051 1532 -1869
0.046401 -0.055145 1518 -1805
0.046010 -0.053338 1501 -1753
0.045645 -0.051620 1486 -1696
0.045304 -0.049985 1482 -1641
0.044985 -0.048426 1473 -1593
0.044686 -0.046935 1457 -1541
0.044406 -0.045509 1448 -1497
0.044142 -0.044142 1442 -1443
0.043894 -0.042829 1430 -1398
0.043660 -0.041568 1428 -1360
0.043439 -0.040353 1423 -1315
0.043231 -0.039182 1414 -1277
0.043034 -0.038052 1405 -1248
0.042848 -0.036961 1400 -1213
0.042671 -0.035905 1391 -1181
0.042504 -0.034882 1390 -1141
0.042345 -0.033891 1384 -1109
0.042195 -0.032929 1379 -1079
0.042052 -0.031995 1374 -1048
0.041916 -0.031087 1359 -1008
0.041786 -0.030203 1379 -994
0.041663 -0.029343 1367 -961
0.041546 -0.028504 1361 -936
0.041435 -0.027686 1359 -910
0.041328 -0.026887 1352 -882
0.041227 -0.026107 1351 -859
0.041130 -0.025344 1346 -831
0.041038 -0.024597 1344 -807
0.040950 -0.023866 1337 -780
0.040866 -0.023150 1333 -759
0.040786 -0.022448 1338 -734
0.040710 -0.021760 1331 -712
0.040636 -0.021084 1330 -689
0.040567 -0.020420 1326 -1
0.040500 -0.019767 1327 -640
0.040437 -0.019125 1322 -623
0.040376 -0.018494 1320 -600
0.040318 -0.017872 1314 -581
0.040263 -0.017259 1317 -561
0.040210 -0.016656 1315 -546
0.040160 -0.016060 1314 -527
0.040112 -0.015473 1311 -510
0.040066 -0.014893 1310 -490
0.040023 -0.014320 1307 -470
0.039981 -0.013754 1311 -452
0.039942 -0.013195 1306 -438
0.039904 -0.012642 1311 -423
0.039869 -0.012094 1306 -393
0.039835 -0.011552 1292 -383
0.039803 -0.011015 1295 -351
0.039773 -0.010483 1288 -337
0.039745 -0.009956 1299 -324
0.039718 -0.009432 1296 -305
0.039693 -0.008913 1299 -287
0.039669 -0.008398 1290 -271
0.039647 -0.007886 1296 -259
0.039627 -0.007378 1290 -235
0.039608 -0.006873 1294 -224
0.039590 -0.006370 1293 -202
0.039574 -0.005870 1291 -188
0.039559 -0.005373 1291 -173
0.039545 -0.004877 1293 -155
0.039533 -0.004384 1290 -137
0.039522 -0.003893 1292 -127
0.039513 -0.003403 1299 -114
0.039504 -0.002914 1290 -88
0.039497 -0.002427 1291 -75
0.039492 -0.001940 1291 -64
0.039487 -0.001454 1289 -43
0.039484 -0.000969 1295 -31
0.039482 -0.000485 1288 -11
0.039482 0.000000 1271 0
0.039482 0.000485 1289 18
0.039484 0.000969 1291 32
0.039487 0.001454 1289 44
0.039492 0.001940 1292 64
0.039497 0.002427 1293 73
0.039504 0.002914 1291 93
0.039513 0.003403 1291 116
0.039522 0.003893 1294 126
0.039533 0.004384 1296 140
0.039545 0.004877 1300 163
0.039559 0.005373 1294 175
0.039574 0.005870 1292 194
0.039590 0.006370 1290 208
0.039608 0.006873 1294 227
0.039627 0.007378 1290 238
0.039647 0.007886 1294 258
0.039669 0.008398 1294 277
0.039693 0.008913 1301 290
0.039718 0.009432 1294 308
0.039745 0.009956 1296 324
0.039773 0.010483 1298 342
0.039803 0.011015 1299 356
0.039835 0.011552 1302 381
0.039869 0.012094 1301 393
0.039904 0.012642 1299 415
0.039942 0.013195 1306 436
0.039981 0.013754 1301 449
0.040023 0.014320 1305 469
0.040066 0.014893 1316 481
0.040112 0.015473 1309 509
0.040160 0.016060 1316 527
0.040210 0.016656 1316 546
0.040263 0.017259 1320 564
0.040318 0.017872 1321 587
0.040376 0.018494 1326 607
0.040437 0.019125 1325 627
0.040500 0.019767 1329 645
0.040567 0.020420 1326 -1
0.040636 0.021084 1329 694
0.040710 0.021760 1332 712
0.040786 0.022448 1338 738
0.040866 0.023150 1337 760
0.040950 0.023866 1340 788
0.041038 0.024597 1345 807
0.041130 0.025344 1340 836
0.041227 0.026107 1345 856
0.041328 0.026887 1350 882
0.041435 0.027686 1357 909
0.041546 0.028504 1362 938
0.041663 0.029343 1367 966
0.041786 0.030203 1376 998
0.041916 0.031087 1360 1010
0.042052 0.031995 1368 1055
0.042195 0.032929 1374 1079
0.042345 0.033891 1383 1111
0.042504 0.034882 1388 1142
0.042671 0.035905 1396 1170
0.042848 0.036961 1399 1210
0.043034 0.038052 1408 1243
0.043231 0.039182 1414 1284
0.043439 0.040353 1423 1324
0.043660 0.041568 1427 1364
0.043894 0.042829 1436 1398
0.044142 0.044142 1442 1442
0.044406 0.045509 1448 1489
0.044686 0.046935 1458 1531
0.044985 0.048426 1471 1584
0.045304 0.049985 1484 1636
0.045645 0.051620 1493 1691
0.046010 0.053338 1506 1746
0.046401 0.055145 1515 1806
0.046821 0.057051 1530 1866
0.047273 0.059066 1544 1930
0.047761 0.061200 1567 2006
0.048288 0.063466 1578 2079
0.048859 0.065879 1599 2153
0.049480 0.068457 1617 2233
0.050157 0.071218 1647 2332
0.050897 0.074186 1663 2431
0.051709 0.077388 1691 2531
0.052603 0.080856 1716 2649
0.053591 0.084629 1751 2772
0.054688 0.088753 1786 2904
0.055913 0.093284 1824 3048
0.057287 0.098292 1877 3217
0.058838 0.103863 1919 3402
0.060601 0.110105 1984 3615
0.062622 0.117157 2053 3837
0.064957 0.125197 2128 4098
0.067684 0.134465 -1 4404
0.070906 0.145279 2315 4763
0.074768 0.158085 2442 5174
0.079475 0.173513 2602 5685
0.085329 0.192498 2790 6304
0.092796 0.216477 3037 7092
0.102636 0.247785 3357 8109
0.116168 0.290486 3798 9508
0.135913 0.352340 4449 11535
0.167356 0.450233 5474 14741
0.225129 0.629194 7367 20597
0.365663 1.062904 11973 32766
1.209707 3.661835 32766 32766
-0.760323 -2.400022 -24906 -32767
-0.268052 -0.883649 -8775 -28931
-0.154605 -0.533130 -5063 -17463
-0.104302 -0.376899 -3420 -12343
-0.075968 -0.288229 -2493 -9439
-0.057840 -0.230909 -1896 -7556
-0.045282 -0.190676 -1487 -6241
-0.036102 -0.160769 -1186 -5261
-0.029125 -0.137574 -959 -4509
-0.023666 -0.118979 -775 -3893
-0.019302 -0.103668 -637 -3391
-0.015752 -0.090780 -519 -2972
-0.012828 -0.079723 -418 -2604
-0.010395 -0.070080 -344 -2294
-0.008359 -0.061545 -276 -2015
-0.006647 -0.053891 -220 -1759
-0.005206 -0.046941 -173 -1535
-0.003995 -0.040560 -131 -1327
-0.002983 -0.034638 -104 -1136
-0.002145 -0.029085 -69 -950
-0.001464 -0.023828 -56 -781
-0.000924 -0.018802 -30 -616
-0.000514 -0.013954 -16 -457
-0.000227 -0.009233 -6 -301
-0.000056 -0.004596 -7 -147
];
