data = [
0.000000 0.000000 -165 0
-0.000002 0.000145 -12 -46
-0.000007 0.000292 -35 -20
-0.000016 0.000441 -13 -39
-0.000029 0.000595 -5 4
-0.000046 0.000753 -5 6
-0.000068 0.000920 -5 8
-0.000094 0.001095 -6 17
-0.000126 0.001283 -12 31
-0.000165 0.001484 -2 23
-0.000210 0.001704 -10 35
-0.000264 0.001946 -7 48
-0.000329 0.002216 -13 52
-0.000406 0.002521 -22 61
-0.000498 0.002871 -18 74
-0.000610 0.003278 -23 91
-0.000748 0.003762 -25 116
-0.000921 0.004350 -34 134
-0.001142 0.005084 -35 159
-0.001432 0.006030 -46 198
-0.001829 0.007302 -61 231
-0.002402 0.009115 -79 291
-0.003298 0.011919 -117 388
-0.004889 0.016859 -159 552
-0.008477 0.027943 -272 898
-0.024044 0.075895 -786 2478
0.038254 -0.115797 1246 -3792
0.011563 -0.033612 375 -1102
0.007119 -0.019897 226 -644
0.005292 -0.014238 170 -473
0.004298 -0.011142 140 -368
0.003674 -0.009186 116 -304
0.003246 -0.007836 101 -251
0.002934 -0.006846 93 -229
0.002698 -0.006087 90 -201
0.002513 -0.005487 79 -181
0.002364 -0.004999 74 -167
0.002242 -0.004594 71 -155
0.002140 -0.004252 65 -143
0.002054 -0.003959 68 -128
0.001980 -0.003705 65 -120
0.001916 -0.003482 63 -111
0.001861 -0.003284 62 -113
0.001812 -0.003108 53 -102
0.001768 -0.002950 55 -97
0.001729 -0.002807 54 -91
0.001695 -0.002676 50 -94
0.001663 -0.002557 50 -81
0.001635 -0.002447 49 -80
0.001610 -0.002346 47 -76
0.001586 -0.002252 50 -76
0.001565 -0.002165 42 -66
0.001545 -0.002083 47 -69
0.001527 -0.002007 53 -81
0.001510 -0.001935 49 -56
0.001495 -0.001868 52 -78
0.001481 -0.001804 47 -59
0.001467 -0.001744 50 -67
0.001455 -0.001687 40 -57
0.001443 -0.001632 44 -56
0.001433 -0.001581 43 -53
0.001423 -0.001531 44 -51
0.001413 -0.001484 42 -53
0.001404 -0.001439 46 -49
0.001396 -0.001396 44 -44
0.001388 -0.001354 42 -45
0.001381 -0.001314 41 -45
0.001374 -0.001276 45 -40
0.001367 -0.001239 41 -40
0.001361 -0.001203 44 -37
0.001355 -0.001169 44 -33
0.001349 -0.001135 45 -32
0.001344 -0.001103 43 -34
0.001339 -0.001072 40 -33
0.001334 -0.001041 42 -31
0.001330 -0.001012 43 -36
0.001325 -0.000983 40 -29
0.001321 -0.000955 20 -17
0.001318 -0.000928 40 -24
0.001314 -0.000901 40 -22
0.001310 -0.000875 41 -28
0.001307 -0.000850 39 -27
0.001304 -0.000826 43 -27
0.001301 -0.000801 39 -27
0.001298 -0.000778 39 -27
0.001295 -0.000755 36 -22
0.001292 -0.000732 36 -23
0.001290 -0.000710 44 -15
0.001287 -0.000688 38 -24
0.001285 -0.000667 38 -24
0.001283 -0.000646 39 -23
0.001281 -0.000625 43 -20
0.001279 -0.000605 40 -16
0.001277 -0.000585 35 -16
0.001275 -0.000565 39 -19
0.001273 -0.000546 38 -18
0.001272 -0.000527 38 -16
0.001270 -0.000508 37 -15
0.001268 -0.000489 38 -17
0.001267 -0.000471 37 -15
0.001266 -0.000453 40 -13
0.001264 -0.000435 43 -13
0.001263 -0.000417 41 -19
0.001262 -0.000400 50 -10
0.001261 -0.000382 39 -10
0.001260 -0.000365 31 -5
0.001259 -0.000348 40 -5
0.001258 -0.000332 27 -4
0.001257 -0.000315 37 -7
0.001256 -0.000298 36 -7
0.001255 -0.000282 34 -2
0.001254 -0.000266 34 -5
0.001254 -0.000249 38 -9
0.001253 -0.000233 37 -8
0.001252 -0.000217 38 -2
0.001252 -0.000201 33 -11
0.001251 -0.000186 37 -3
0.001251 -0.000170 34 -12
0.001251 -0.000154 36 -5
0.001250 -0.000139 37 -1
0.001250 -0.000123 38 -4
0.001249 -0.000108 32 6
0.001249 -0.000092 34 -7
0.001249 -0.000077 37 0
0.001249 -0.000061 35 -1
0.001249 -0.000046 37 -4
0.001249 -0.000031 32 2
0.001249 -0.000015 35 0
0.001249 0.000000 -29 0
0.001249 0.000015 33 1
0.001249 0.000031 40 1
0.001249 0.000046 36 4
0.001249 0.000061 38 2
0.001249 0.000077 42 6
0.001249 0.000092 36 6
0.001249 0.000108 35 0
0.001250 0.000123 39 3
0.001250 0.000139 39 3
0.001251 0.000154 39 3
0.001251 0.000170 40 6
0.001251 0.000186 38 8
0.001252 0.000201 35 5
0.001252 0.000217 37 8
0.001253 0.000233 38 13
0.001254 0.000249 36 8
0.001254 0.000266 37 6
0.001255 0.000282 40 9
0.001256 0.000298 39 8
0.001257 0.000315 34 9
0.001258 0.000332 36 11
0.001259 0.000348 40 10
0.001260 0.000365 40 16
0.001261 0.000382 39 12
0.001262 0.000400 35 10
0.001263 0.000417 44 15
0.001264 0.000435 29 19
0.001266 0.000453 36 13
0.001267 0.000471 42 20
0.001268 0.000489 34 15
0.001270 0.000508 38 13
0.001272 0.000527 39 16
0.001273 0.000546 47 16
0.001275 0.000565 38 18
0.001277 0.000585 43 18
0.001279 0.000605 42 20
0.001281 0.000625 41 22
0.001283 0.000646 35 22
0.001285 0.000667 36 23
0.001287 0.000688 43 21
0.001290 0.000710 41 18
0.001292 0.000732 36 28
0.001295 0.000755 37 25
0.001298 0.000778 43 26
0.001301 0.000801 34 40
0.001304 0.000826 40 27
0.001307 0.000850 44 28
0.001310 0.000875 39 27
0.001314 0.000901 41 29
0.001318 0.000928 42 31
0.001321 0.000955 24 17
0.001325 0.000983 41 32
0.001330 0.001012 43 30
0.001334 0.001041 39 31
0.001339 0.001072 42 41
0.001344 0.001103 41 36
0.001349 0.001135 40 38
0.001355 0.001169 42 40
0.001361 0.001203 44 45
0.001367 0.001239 41 44
0.001374 0.001276 40 54
0.001381 0.001314 46 46
0.001388 0.001354 42 44
0.001396 0.001396 44 43
0.001404 0.001439 46 40
0.001413 0.001484 43 46
0.001423 0.001531 41 49
0.001433 0.001581 43 47
0.001443 0.001632 44 50
0.001455 0.001687 42 48
0.001467 0.001744 43 49
0.001481 0.001804 47 57
0.001495 0.001868 48 56
0.001510 0.001935 46 66
0.001527 0.002007 41 63
0.001545 0.002083 48 66
0.001565 0.002165 44 68
0.001586 0.002252 58 71
0.001610 0.002346 46 75
0.001635 0.002447 49 77
0.001663 0.002557 51 80
0.001695 0.002676 49 84
0.001729 0.002807 49 82
0.001768 0.002950 53 92
0.001812 0.003108 52 97
0.001861 0.003284 54 102
0.001916 0.003482 60 112
0.001980 0.003705 64 119
0.002054 0.003959 66 129
0.002140 0.004252 67 142
0.002242 0.004594 69 157
0.002364 0.004999 70 161
0.002513 0.005487 77 183
0.002698 0.006087 79 202
0.002934 0.006846 92 231
0.003246 0.007836 102 249
0.003674 0.009186 115 294
0.004298 0.011142 130 354
0.005292 0.014238 165 452
0.007119 0.019897 224 638
0.011563 0.033612 377 1092
0.038254 0.115797 1247 3794
-0.024044 -0.075895 -785 -2486
-0.008477 -0.027943 -274 -900
-0.004889 -0.016859 -166 -551
-0.003298 -0.011919 -109 -383
-0.002402 -0.009115 -80 -296
-0.001829 -0.007302 -62 -235
-0.001432 -0.006030 -47 -203
-0.001142 -0.005084 -39 -164
-0.000921 -0.004350 -35 -139
-0.000748 -0.003762 -25 -119
-0.000610 -0.003278 -24 -106
-0.000498 -0.002871 -17 -90
-0.000406 -0.002521 -18 -81
-0.000329 -0.002216 -12 -73
-0.000264 -0.001946 -13 -58
-0.000210 -0.001704 -7 -55
-0.000165 -0.001484 -6 -43
-0.000126 -0.001283 -5 -42
-0.000094 -0.001095 -5 -35
-0.000068 -0.000920 -7 -25
-0.000046 -0.000753 -8 -23
-0.000029 -0.000595 -2 -19
-0.000016 -0.000441 -4 -12
-0.000007 -0.000292 -3 -5
-0.000002 -0.000145 -6 0
];
