data = [
-0.016728 -0.000374 -3131 -2646
-0.005114 0.027533 -351 -307
-0.020862 0.027775 -831 -257
-0.024045 -0.011893 -935 -1543
-0.003790 0.018721 -162 291
-0.015768 0.027440 -570 616
-0.011326 -0.017915 -404 -887
0.012250 -0.001489 369 -345
0.008423 0.008924 227 -9
-0.007905 -0.005839 -299 -402
-0.014555 0.005291 -525 -174
0.003151 -0.022821 57 -1031
0.026858 0.018377 830 292
-0.018180 -0.007310 -623 -517
0.034245 0.042506 1048 1078
-0.006930 0.040315 -202 1011
-0.002753 -0.003801 -108 -187
0.039868 0.020028 1265 567
0.010848 0.017456 362 514
-0.046722 -0.066072 -1512 -2208
0.055500 0.013592 1768 337
0.033041 0.003373 1060 7
-0.014918 -0.030710 -540 -1106
0.018521 -0.007407 584 -327
0.023791 0.013393 750 352
-0.008645 -0.023923 -318 -841
-0.010157 -0.006221 -335 -264
-0.009284 0.035319 -322 1107
0.004276 -0.000274 116 -106
0.015877 0.007123 487 130
-0.010255 -0.026326 -316 -914
0.005868 -0.009073 202 -322
-0.006389 0.022866 -231 620
0.013599 0.028752 435 889
-0.013647 -0.028838 -426 -1016
-0.006360 -0.002376 -205 -149
0.009944 0.056439 351 1690
0.044015 0.017460 1426 517
0.001156 0.016938 42 491
0.000616 -0.022250 -14 -805
-0.022599 0.034659 -737 1041
-0.019077 -0.024344 -671 -837
0.049875 -0.014141 1602 -502
0.030548 -0.049144 1030 -1626
-0.020078 -0.021926 -626 -784
-0.012415 -0.014527 -391 -533
0.047758 0.001427 1539 8
0.018506 0.007290 548 186
-0.006083 -0.001634 -239 -110
0.003017 0.000998 71 -50
-0.028417 0.006334 -948 121
0.015742 0.003154 496 41
-0.013825 0.012598 -462 313
0.022358 0.005411 706 67
0.021555 -0.019943 701 -685
-0.032432 0.011527 -1077 308
-0.002856 -0.021665 -88 -854
-0.012505 -0.030641 -427 -1071
0.009237 -0.008180 286 -352
0.018249 0.003367 586 23
0.029412 0.046252 926 1426
-0.009855 0.034687 -375 1074
-0.004970 0.018779 -214 518
0.006724 0.019546 234 567
-0.030869 0.011719 -963 304
-0.008493 -0.004671 -261 -156
0.029043 -0.000114 909 -39
-0.033637 0.009446 -1118 298
-0.001487 -0.020954 -26 -712
0.002141 -0.007883 60 -308
0.011487 0.032435 342 1008
-0.021397 -0.036436 -693 -1172
0.038330 -0.022760 1239 -723
-0.003927 0.028574 -73 915
-0.032945 0.015643 -1081 486
-0.042637 0.019868 -1417 599
0.024353 -0.002466 767 -58
-0.052005 0.006019 -1722 188
0.029848 -0.016807 969 -567
0.024255 -0.020338 799 -664
0.034210 -0.028642 1080 -943
-0.030767 -0.001554 -998 -70
0.031103 0.004828 989 146
-0.011015 0.010589 -350 372
-0.011652 0.006299 -392 195
