data = [
0.000000 0.000000 -168 0
-0.000002 0.000183 -13 -48
-0.000009 0.000368 -36 -21
-0.000020 0.000556 -13 -45
-0.000037 0.000749 -5 6
-0.000058 0.000949 -4 10
-0.000085 0.001158 -5 17
-0.000119 0.001379 -2 35
-0.000159 0.001615 -13 42
-0.000207 0.001869 -8 41
-0.000265 0.002145 -13 51
-0.000333 0.002450 -10 69
-0.000414 0.002790 -16 71
-0.000511 0.003174 -19 79
-0.000627 0.003614 -25 99
-0.000768 0.004127 -28 121
-0.000942 0.004737 -32 147
-0.001159 0.005477 -36 167
-0.001437 0.006400 -46 203
-0.001803 0.007591 -57 245
-0.002303 0.009193 -76 290
-0.003024 0.011475 -102 362
-0.004152 0.015005 -137 484
-0.006155 0.021224 -203 684
-0.010671 0.035179 -344 1130
-0.030269 0.095547 -988 3117
0.048159 -0.145780 1567 -4758
0.014557 -0.042315 469 -1377
0.008963 -0.025049 284 -808
0.006663 -0.017924 214 -587
0.005411 -0.014027 175 -456
0.004625 -0.011564 150 -376
0.004086 -0.009864 127 -315
0.003694 -0.008618 119 -284
0.003397 -0.007663 110 -253
0.003164 -0.006908 101 -228
0.002977 -0.006293 95 -206
0.002823 -0.005784 90 -193
0.002695 -0.005353 85 -174
0.002586 -0.004984 83 -154
0.002493 -0.004664 78 -153
0.002413 -0.004383 73 -141
0.002342 -0.004135 76 -136
0.002281 -0.003913 75 -123
0.002226 -0.003714 70 -121
0.002177 -0.003533 67 -117
0.002133 -0.003369 63 -114
0.002094 -0.003219 66 -104
0.002059 -0.003081 63 -100
0.002026 -0.002953 58 -91
0.001997 -0.002835 61 -93
0.001970 -0.002725 56 -88
0.001945 -0.002623 58 -87
0.001922 -0.002527 69 -96
0.001901 -0.002436 60 -75
0.001882 -0.002351 64 -99
0.001864 -0.002271 57 -74
0.001847 -0.002195 57 -73
0.001832 -0.002123 58 -66
0.001817 -0.002055 58 -69
0.001804 -0.001990 52 -66
0.001791 -0.001928 53 -62
0.001779 -0.001869 53 -67
0.001768 -0.001812 57 -59
0.001757 -0.001757 54 -55
0.001747 -0.001705 55 -57
0.001738 -0.001655 52 -50
0.001729 -0.001606 50 -53
0.001721 -0.001560 52 -49
0.001713 -0.001515 48 -48
0.001706 -0.001471 51 -49
0.001699 -0.001429 51 -46
0.001692 -0.001389 50 -43
0.001686 -0.001349 50 -47
0.001680 -0.001311 55 -37
0.001674 -0.001274 51 -32
0.001669 -0.001238 38 -27
0.001664 -0.001202 77 -53
0.001659 -0.001168 50 -34
0.001654 -0.001135 53 -34
0.001650 -0.001102 57 -40
0.001645 -0.001070 52 -31
0.001641 -0.001039 48 -37
0.001637 -0.001009 50 -38
0.001634 -0.000979 52 -32
0.001630 -0.000950 52 -30
0.001627 -0.000922 55 -32
0.001624 -0.000894 50 -29
0.001621 -0.000866 52 -26
0.001618 -0.000839 51 -26
0.001615 -0.000813 52 -29
0.001612 -0.000787 45 -27
0.001610 -0.000761 52 -24
0.001607 -0.000736 47 -18
0.001605 -0.000711 45 -20
0.001603 -0.000687 50 -20
0.001601 -0.000663 50 -22
0.001599 -0.000639 51 -24
0.001597 -0.000616 48 -19
0.001595 -0.000593 53 -20
0.001593 -0.000570 51 -18
0.001592 -0.000548 52 -25
0.001590 -0.000525 53 -20
0.001589 -0.000503 61 -14
0.001587 -0.000481 52 -11
0.001586 -0.000460 43 -11
0.001585 -0.000439 48 -6
0.001583 -0.000417 41 -5
0.001582 -0.000396 50 -11
0.001581 -0.000376 47 -5
0.001580 -0.000355 47 -8
0.001579 -0.000334 42 -10
0.001578 -0.000314 51 -10
0.001578 -0.000294 48 -11
0.001577 -0.000274 48 -6
0.001576 -0.000254 45 -7
0.001575 -0.000234 47 -8
0.001575 -0.000214 52 -13
0.001574 -0.000194 46 -3
0.001574 -0.000175 46 0
0.001573 -0.000155 49 -6
0.001573 -0.000135 46 -8
0.001573 -0.000116 46 1
