data = [
0.000000 0.000000 -168 0
-0.000002 0.000130 -9 -47
-0.000006 0.000260 -34 -18
-0.000014 0.000393 -11 -43
-0.000026 0.000530 -4 1
-0.000041 0.000672 -5 6
-0.000060 0.000820 -6 4
-0.000084 0.000976 -5 13
-0.000113 0.001143 -10 27
-0.000147 0.001323 -6 30
-0.000187 0.001519 -13 31
-0.000236 0.001735 -10 42
-0.000293 0.001975 -14 48
-0.000362 0.002247 -16 53
-0.000444 0.002559 -19 65
-0.000544 0.002922 -26 80
-0.000667 0.003353 -22 103
-0.000821 0.003877 -29 116
-0.001017 0.004531 -31 141
-0.001276 0.005374 -43 168
-0.001630 0.006508 -52 208
-0.002141 0.008123 -71 254
-0.002940 0.010622 -99 337
-0.004357 0.015026 -142 499
-0.007555 0.024905 -244 798
-0.021429 0.067642 -705 2211
0.034094 -0.103205 1116 -3387
0.010306 -0.029957 334 -976
0.006345 -0.017733 201 -575
0.004717 -0.012689 151 -418
0.003831 -0.009930 120 -329
0.003274 -0.008187 98 -276
0.002893 -0.006984 88 -222
0.002615 -0.006101 81 -204
0.002405 -0.005425 75 -180
0.002240 -0.004890 77 -153
0.002107 -0.004455 67 -145
0.001998 -0.004095 62 -141
0.001908 -0.003790 61 -132
0.001831 -0.003529 60 -119
0.001765 -0.003302 58 -109
0.001708 -0.003103 58 -108
0.001658 -0.002927 51 -97
0.001615 -0.002770 49 -91
0.001576 -0.002629 49 -87
0.001541 -0.002501 52 -87
0.001510 -0.002385 46 -82
0.001483 -0.002279 42 -79
0.001457 -0.002181 44 -71
0.001434 -0.002091 41 -67
0.001414 -0.002007 44 -72
0.001395 -0.001929 36 -62
0.001377 -0.001857 42 -64
0.001361 -0.001789 50 -72
0.001346 -0.001725 41 -47
0.001332 -0.001665 50 -69
0.001320 -0.001608 41 -53
0.001308 -0.001554 39 -55
0.001297 -0.001503 36 -52
0.001286 -0.001455 34 -56
0.001277 -0.001409 38 -50
0.001268 -0.001365 38 -43
0.001259 -0.001323 37 -46
0.001252 -0.001283 40 -40
0.001244 -0.001244 38 -39
0.001237 -0.001207 36 -37
0.001230 -0.001172 39 -36
0.001224 -0.001137 39 -36
0.001218 -0.001104 35 -36
0.001213 -0.001072 35 -36
0.001208 -0.001042 39 -33
0.001203 -0.001012 40 -32
0.001198 -0.000983 37 -30
0.001193 -0.000955 37 -31
0.001189 -0.000928 41 -23
0.001185 -0.000902 32 -32
